Price,Close,High,Low,Open,Volume
Ticker,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS,CEATLTD.NS
Date,,,,,
2019-01-01,1213.552001953125,1226.0290436863197,1205.577982000064,1224.5280745984755,294382
2019-01-02,1212.61376953125,1228.702548848194,1199.0579826745104,1208.2984408600678,427845
2019-01-03,1208.5799560546875,1227.5299329034958,1200.9810929805658,1205.5779035577302,453106
2019-01-04,1228.5150146484375,1233.1586625501475,1190.2866270494123,1210.1747239936785,446883
2019-01-07,1205.296630859375,1242.6806902368387,1200.418338112774,1238.3184093007542,390250
2019-01-08,1193.8984375,1210.1747965502825,1177.1530184510548,1210.1747965502825,586240
2019-01-09,1181.514892578125,1201.449937590373,1175.4640658986834,1201.449937590373,442869
2019-01-10,1187.3782958984375,1190.4271855330599,1172.649859470128,1172.649859470128,295323
2019-01-11,1188.4571533203125,1191.4122538611596,1176.4023357022788,1183.9072947817192,230764
2019-01-14,1181.6558837890625,1189.5361143902353,1140.0033344828041,1183.4852864288796,209143
2019-01-15,1159.8914794921875,1187.5660168339632,1153.043158343349,1182.9692063721807,506445
2019-01-16,1154.8255615234375,1171.711719206152,1150.2757030511343,1153.8874416521755,303551
2019-01-17,1156.514404296875,1161.064263482034,1145.4445422749636,1155.763862475639,288338
2019-01-18,1155.857666015625,1169.8356773654132,1148.2589166762357,1169.8356773654132,311955
2019-01-21,1150.4163818359375,1160.923278020277,1146.1009390478105,1158.249659434819,216822
2019-01-22,1143.8966064453125,1152.4334755968348,1130.5283963594322,1148.3526764739393,329450
2019-01-23,1144.0372314453125,1153.8874905106472,1139.9094809336636,1144.1779723352781,288428
2019-01-24,1144.2716064453125,1158.2026623333177,1137.0481299157025,1144.1778173702348,266821
2019-01-25,1115.3306884765625,1156.1389010700827,1109.3736504610545,1148.1648825173259,294685
2019-01-28,1080.3857421875,1115.23691732579,1066.313944515236,1108.8576565743974,516578
2019-01-29,1042.67333984375,1095.8178562439368,1030.1964136109275,1049.7561910502343,1642392
2019-01-30,1018.891845703125,1046.0035295978087,1005.1953201471317,1046.0035295978087,965933
2019-01-31,1018.8452758789062,1025.9749650040828,993.5160357776667,1014.1546758601581,666615
2019-02-01,1035.9189453125,1047.082595518711,1008.4789370259791,1015.0457766159158,724235
2019-02-04,1012.5128784179688,1039.8121452663318,1003.8352691326405,1037.7013754401708,359601
2019-02-05,1030.4779052734375,1036.575685492856,1008.6666144885935,1012.2315164235114,393345
2019-02-06,1030.1494140625,1041.3130635024654,1001.9120286672369,1032.869984609202,523482
2019-02-07,1061.1544189453125,1067.439776890149,1022.2692777728686,1030.6655201508424,851096
2019-02-08,1038.6861572265625,1065.7040522450377,1024.4737344106725,1061.8577841147212,594157
2019-02-11,1018.4699096679688,1036.6225071385243,1010.3551494915752,1036.6225071385243,556260
2019-02-12,991.8272705078125,1026.0216952710605,985.0259011900715,1017.7663088091358,678529
2019-02-14,1014.38916015625,1030.0557177063472,987.4182112636657,988.7784394011748,482449
2019-02-15,1000.8333129882812,1018.7983341409567,977.568005375319,1017.391154121425,570345
2019-02-18,978.5528564453125,1007.4938328018019,973.7684678016284,999.0977054034048,325462
2019-02-19,986.9021606445312,1005.6645591358722,976.5828414742938,976.5828414742938,378261
2019-02-20,992.1554565429688,1000.9268535836995,983.5248003725696,988.778248237881,392118
2019-02-21,994.3132934570312,1013.169480326456,989.1536340664799,997.0338640390032,462039
2019-02-22,995.486083984375,1009.1356615908893,989.3883038429937,997.8782213298775,419775
2019-02-25,1011.57470703125,1016.9219445121795,994.4070675119099,999.0976668869661,407112
2019-02-26,1010.542724609375,1025.1774868673654,992.0148563251973,1007.540786694018,599007
2019-02-27,1025.411865234375,1040.4686189038416,1010.7302678614163,1010.7302678614163,621150
2019-02-28,1022.7852172851562,1044.596504881469,1017.813136026458,1033.7611742689232,589076
2019-03-01,1041.828857421875,1045.9096551304451,1031.9316489818332,1034.746008024511,389188
2019-03-05,1063.4527587890625,1068.518629452737,1032.8700711391252,1041.3131507397175,516964
2019-03-06,1057.5894775390625,1083.5285164420545,1049.8031508494778,1069.3629284377755,574522
2019-03-07,1053.274169921875,1064.76613926638,1044.2212895349255,1060.075539533929,269751
2019-03-08,1056.3701171875,1063.8281257012497,1045.0657248952314,1052.5706852176388,286920
2019-03-11,1073.4437255859375,1082.4966057773524,1056.745145092449,1063.452725468295,506021
2019-03-12,1081.7459716796875,1095.7239802904767,1072.4585622995937,1081.1361708763804,697815
2019-03-13,1085.029541015625,1099.8518824386567,1079.776092054907,1098.0694315814671,587546
2019-03-14,1079.963623046875,1095.255023789503,1073.4906871105588,1084.4666445401845,352034
2019-03-15,1093.0504150390625,1106.0433526396114,1076.164256983496,1083.4346861463093,903086
2019-03-18,1075.13232421875,1102.2908486839458,1069.5504422750373,1094.5983115465729,447245
2019-03-19,1079.400634765625,1092.8157939084863,1063.4057606516062,1078.5094667492203,446685
2019-03-20,1062.983642578125,1083.2939614462061,1053.2271726524725,1083.2939614462061,414699
2019-03-22,1045.1124267578125,1068.2839404049703,1032.869917353126,1064.7659910951845,236246
2019-03-25,1018.4227294921875,1036.6222746840717,1015.4207922409051,1035.6841549784754,464585
2019-03-26,1028.6015625,1035.074612989908,1012.9350053072114,1016.9220150525745,392027
2019-03-27,1015.0927124023438,1040.4219504209973,1008.4789211130583,1033.0576173837815,399592
2019-03-28,1022.8323974609375,1031.9321166832256,1003.8354653129054,1012.0440162410674,432436
2019-04-01,1069.503662109375,1082.0275401557005,1052.75812990051,1062.6083890743873,509579
2019-04-02,1060.591552734375,1074.8509301335232,1055.6194712046668,1069.5036922379913,357966
2019-04-03,1032.44775390625,1061.294936700365,1023.4886643375461,1056.322856135726,503960
2019-04-04,1043.0487060546875,1049.2402751926702,1031.9320068838501,1031.9320068838501,382596
2019-04-05,1054.868896484375,1060.0755078383593,1028.4139605909747,1049.5216587558978,403382
2019-04-08,1036.76318359375,1063.4526477374786,1027.2412441352074,1057.2610795802545,385364
2019-04-09,1025.9749755859375,1033.9958329907622,1008.4790144322344,1029.2583956329263,613392
2019-04-10,1030.6185302734375,1040.3280486275187,1019.3610911344232,1024.4269616502982,354096
2019-04-11,1023.6764526367188,1030.0557141594634,1006.6027152031915,1024.708476204072,700260
2019-04-12,1040.7503662109375,1048.9119645243397,1027.194463301593,1027.194463301593,641927
2019-04-15,1051.39794921875,1065.7042786638413,1040.8910514329284,1044.9718503713236,578416
2019-04-16,1054.3997802734375,1057.9646815799642,1045.1593224730857,1056.322971810277,295330
2019-04-18,1044.6434326171875,1062.889818379378,1032.8699823792545,1057.261099129355,333560
2019-04-22,1022.7852172851562,1038.4987255534675,1014.1076082414619,1037.560605656852,357601
2019-04-23,1021.612548828125,1030.0556277440598,1004.91396916553,1018.610611020205,451484
2019-04-24,1022.03466796875,1030.9937587215095,1014.1076007078723,1027.2412791629233,320292
2019-04-25,1021.2374267578125,1028.6485977893005,1014.342267541889,1025.8342377406295,332595
2019-04-26,1015.0457763671875,1020.1584842400333,1003.7883370729119,1015.0457763671875,240655
2019-04-30,988.7783813476562,1020.0178200374772,982.2584938047987,1016.4529185865138,407824
2019-05-02,987.4650268554688,992.2494156505823,964.0120283337419,985.9640578533971,439871
2019-05-03,988.07470703125,995.8141955980744,980.3352184644256,981.7423982038482,364167
2019-05-06,977.0518188476562,989.012846874836,972.8772313428423,981.9769480353185,334704
2019-05-07,973.0178833007812,988.6845538388216,967.2015859137538,977.051844548181,557280
2019-05-08,991.4520874023438,999.0977882154818,962.5111086470275,962.5111086470275,2289447
2019-05-09,953.92724609375,991.5927849042652,943.7955621083556,991.5927849042652,1189211
2019-05-10,931.9284057617188,962.4173049391879,928.7387749444483,956.8823741851892,823746
2019-05-13,925.5490112304688,938.1198399896464,924.0480423898017,933.4292407896982,497599
2019-05-14,926.0651245117188,937.1818229314607,902.4713850451103,924.0481437312201,517221
2019-05-15,904.9573974609375,948.4392325483368,898.7188771328454,930.6149541918398,671201
2019-05-16,886.9923706054688,906.2238286672477,877.6111715509423,900.8765337545087,489503
2019-05-17,891.5421752929688,905.1918648979457,880.8945379137286,890.9324317462995,555094
2019-05-20,945.859375,952.1916842301016,903.8316155615025,909.9762893627573,586288
2019-05-21,922.4532470703125,955.4750776005567,918.4662376645174,944.6866992084051,439245
2019-05-22,932.0690307617188,938.9642464968665,911.9463471189499,927.8005965970818,431741
2019-05-23,921.9373779296875,957.8204659030383,917.4813081813628,947.0320865123576,608139
2019-05-24,975.7384643554688,986.9959029162854,919.3574824666958,930.1458610874786,859883
2019-05-27,956.3193969726562,989.2473807691963,953.4111910857852,968.2334732483074,496700
2019-05-28,938.5889282226562,974.706543151764,934.6019187824301,965.2315553853671,494939
2019-05-29,938.1199340820312,954.6308220185563,927.8006148071289,942.8105337524414,442081
2019-05-30,935.4463500976562,942.810568951821,927.8006494461204,942.810568951821,352014
2019-05-31,919.1697998046875,956.4600631211191,912.7905963996982,939.9960715236357,776926
2019-06-03,923.5321044921875,937.9322213909654,914.666860393637,920.2955795345208,551735
2019-06-04,949.8931884765625,954.5368929208079,924.610848509705,928.4571740302557,916621
2019-06-06,929.7706909179688,959.5091057881888,926.5342227878882,953.1299013645739,688310
2019-06-07,913.2128295898438,937.6977361162927,910.0231990213455,935.3055418190664,562910
2019-06-10,902.002197265625,923.0161039117904,898.9064133444523,923.0161039117904,594099
2019-06-11,913.91650390625,918.278727496162,894.9664686939836,909.038268516216,370261
2019-06-12,898.953369140625,921.7496706241265,895.9044795505315,917.4812366496543,504062
2019-06-13,874.2339477539062,899.8915038232935,863.6331471980366,899.6569738509653,1052999
2019-06-14,868.464599609375,883.9435797806466,866.9636304960874,878.6431788186785,514300
2019-06-17,878.3148193359375,891.2139688855974,865.8847297699015,871.5134495733895,834970
2019-06-18,852.5634155273438,882.7239954040072,841.5874004493038,882.7239954040072,1190685
2019-06-19,842.8538208007812,862.1321729554718,833.1442456513664,854.2050484880635,604768
2019-06-20,855.7529907226562,860.8188038661043,817.1493336415247,839.6173168686062,580649
2019-06-21,860.115234375,864.8527858251508,840.1332913302551,855.7530110582277,527734
2019-06-24,846.418701171875,859.3178501229564,830.7051924496484,858.2389893073657,644469
2019-06-25,883.1929931640625,889.1969261817122,836.6622116712289,842.4316719716802,1264377
2019-06-26,889.431396484375,899.3286065928115,867.2917911865001,878.0801693353857,892698
2019-06-27,874.6561279296875,897.7808080089962,863.1641583391856,882.770888543851,909770
2019-06-28,866.4475708007812,879.9565211070229,863.07036185337,874.3278013558053,214943
2019-07-01,868.22998046875,889.0562540126903,858.3797213710494,868.1361913806616,365643
2019-07-02,859.1301879882812,868.6990223644732,847.2160538756842,863.0234084540316,467039
2019-07-03,872.2169799804688,877.470428534952,858.5204522973766,862.1321910212969,253481
2019-07-04,878.0802612304688,892.2458493790517,868.0892609958418,870.5753017327725,240684
2019-07-05,867.9954223632812,889.3376497167151,862.1321730903599,881.8326906473757,132925
2019-07-08,848.294921875,863.0703103400608,840.602327222484,863.0703103400608,190976
2019-07-09,847.779052734375,855.5185427095685,839.8519273081226,850.8279427246027,155321
2019-07-10,845.29296875,853.8767891882452,839.6173545091674,844.3079542550287,130485
2019-07-11,839.2890014648438,851.2969248766369,833.4257520197988,848.9047305547176,205552
2019-07-12,838.4915771484375,847.5913518686366,833.2381284740422,840.3678169976209,195286
2019-07-15,839.1951904296875,851.8129152180014,833.050516204389,840.7431112516297,181833
2019-07-16,838.58544921875,842.4317181242386,830.2361587304579,838.6792383107676,120333
2019-07-17,837.553466796875,848.9985414593677,829.3449173628755,838.5854330806987,158962
2019-07-18,840.02587890625,853.4810918283245,836.8403260658265,848.7265873247536,133233
2019-07-19,829.85107421875,849.1068138977625,819.0583161682295,842.4980422521056,134097
2019-07-22,813.8760375976562,824.4310135173007,808.7411499382517,818.7256085794647,112317
2019-07-23,826.950927734375,834.3679425801553,799.7075958149809,816.3958937275818,184646
2019-07-24,821.7208862304688,832.513586263654,806.6490748885647,826.6179901501714,147011
