Price,Close,High,Low,Open,Volume
Ticker,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
Date,,,,,
2019-01-01,2565.007568359375,2571.076376686585,2520.475009254137,2533.3508540940547,344239
2019-01-02,2498.536865234375,2556.560360789069,2479.8791334482366,2554.674044563567,597712
2019-01-03,2472.374755859375,2524.32943958725,2465.52687377824,2486.603918397837,368413
2019-01-04,2450.3955078125,2497.265283536824,2437.437572371888,2484.9634841105344,405667
2019-01-07,2425.874267578125,2479.223121399783,2420.9945929117303,2476.762761041133,361881
2019-01-08,2436.003173828125,2455.8500434682583,2403.1573183746414,2439.037578652396,354130
2019-01-09,2409.0615234375,2448.1403626993815,2384.088908762159,2448.1403626993815,388001
2019-01-10,2394.340087890625,2419.3126992162397,2388.6402945357004,2404.5915868112047,452293
2019-01-11,2377.732666015625,2411.9316264614727,2366.045957214824,2397.21051401696,258996
2019-01-14,2351.283935546875,2386.7951700142503,2342.3036619907352,2379.168014308156,267722
2019-01-15,2387.328125,2393.3971327560953,2351.5710153657965,2361.6993765990815,371767
2019-01-16,2361.82275390625,2390.6088468905505,2353.99056755685,2385.7291727457737,261721
2019-01-17,2381.300537109375,2408.610373216623,2348.823704678308,2360.7154448032506,515341
2019-01-18,2377.323486328125,2402.911197132157,2348.0041884803522,2391.7985281127544,389524
2019-01-21,2291.620361328125,2386.4263155414496,2279.933651066364,2379.1681732890365,628463
2019-01-22,2316.757080078125,2325.040372783535,2249.179267145977,2292.235570345672,842837
2019-01-23,2293.014404296875,2338.53106291415,2284.1162227019536,2322.5797694436474,326454
2019-01-24,2288.298828125,2319.299404768311,2279.9746900541672,2292.2354442459086,240737
2019-01-25,2189.84326171875,2287.1095704243985,2175.5322082615976,2259.430521387438,775065
2019-01-28,2131.163818359375,2202.0221031531214,2121.4453166969597,2197.9215033334694,576248
2019-01-29,2159.6220703125,2178.935936663883,2111.2349895447232,2133.1731998928253,666747
