Price,Close,High,Low,Open,Volume
Ticker,RATNAMANI.NS,RATNAMANI.NS,RATNAMANI.NS,RATNAMANI.NS,RATNAMANI.NS
Date,,,,,
2019-01-01,606.6784057617188,609.6886083768446,600.1136814073224,602.6114629488836,1999
2019-01-02,599.4732055664062,607.6070912805959,591.6595317200722,604.3407074112016,18084
2019-01-03,597.5197143554688,602.0349883487168,595.6303414756501,602.0349883487168,1129
2019-01-04,584.7425537109375,601.9709599652821,581.6042899120042,595.630401723959,18535
2019-01-07,582.3407592773438,588.6813168768947,576.5125054097113,588.0088192803084,3006
2019-01-08,578.8182983398438,582.1807282887058,576.4485779863052,579.4907960568412,2238
2019-01-09,581.18798828125,582.1806978246275,574.5591747030554,575.8401394215804,1267
2019-01-10,582.0846557617188,586.0234786391065,577.6974424573298,580.3233439209623,996
2019-01-11,585.5751953125,588.4892935582724,578.7542891887583,583.397625459523,1642
2019-01-14,584.6144409179688,608.3756149060422,577.2490991109108,603.2839473306238,2034
2019-01-15,589.5460815429688,595.3102472767855,572.3176149911495,574.7193507135731,2829
2019-01-16,588.8095092773438,592.492150898535,583.1413899404427,592.492150898535,1027
2019-01-17,589.5140380859375,595.6304307369703,588.7454357825396,589.8342499549378,2677
2019-01-18,589.48193359375,593.2606797239474,584.1020695653592,590.8269289189078,2920
2019-01-21,583.5577392578125,588.3932259392975,582.885241540572,588.3932259392975,966
2019-01-22,581.63623046875,583.3974833902504,573.2141496726028,582.7570011296535,1891
2019-01-23,572.7659301757812,579.5868359749121,529.5026731038495,576.5766918961663,124599
2019-01-24,570.3002319335938,594.349606654166,564.3759304046431,573.4064223546818,48394
2019-01-25,566.9697265625,576.3525028938103,558.1953586328825,570.6203528810227,22746
2019-01-28,566.6814575195312,566.9376973663253,555.9217293990026,563.3190278228359,11151
2019-01-29,565.7208251953125,575.7761000633594,559.7645674186065,562.678665656318,9567
2019-01-30,572.5097045898438,579.5547757464383,553.3598515000145,559.3481825057618,6321
2019-01-31,564.5359497070312,582.180672086051,561.0774154832643,582.180672086051,14875
2019-02-01,560.1808471679688,567.0978581551525,555.3453601330932,563.6073666530538,29794
2019-02-04,557.9712524414062,560.052776358394,547.2435382323139,560.052776358394,6108
2019-02-05,544.3294067382812,558.227459779614,538.9495417192439,558.227459779614,2773
2019-02-06,542.407958984375,556.5621917420721,534.0499657813056,536.8999746183702,8541
2019-02-07,543.0484008789062,551.5986026608924,531.5841011929497,538.9814582147853,3856
2019-02-08,547.0194702148438,552.7195478989654,537.3484359422281,543.2407228891755,2497
2019-02-11,548.6845092773438,550.7979896128917,537.3482707846084,546.9872281267286,5283
2019-02-12,548.3643188476562,550.7020240501782,540.5186874764349,541.2872312230351,2974
2019-02-14,548.3002319335938,553.8722468198644,539.2696825883072,545.3541185558613,4710
2019-02-15,548.2362670898438,553.936343953503,526.6846746663095,542.8243281705327,5559
2019-02-18,548.2362670898438,557.2027282286055,534.0500176308,550.7980796231298,13885
2019-02-19,547.5957641601562,552.7194476712496,537.3483385018416,552.687432345297,8742
2019-02-20,546.474853515625,550.8620666068234,541.1910355223602,550.8620666068234,946
2019-02-21,549.1968994140625,550.7980174074786,538.6292626585717,544.6496093859582,3121
2019-02-22,550.5418090820312,560.4049323258907,541.1910482617332,544.4574320070883,3733
2019-02-25,541.4793701171875,550.7980581270452,538.6293024785228,548.2042303678392,2367
2019-02-26,550.8941040039062,555.8256363893101,534.786468172883,539.0134875552118,7578
2019-02-27,548.9407958984375,557.0746242194584,542.4721164536203,554.0004490915759,3448
2019-02-28,548.620361328125,552.6552882723405,533.8897380178092,552.6552882723405,7603
2019-03-01,548.6845092773438,553.3598603636525,545.0979136807268,549.6772188012818,3117
2019-03-05,560.4049682617188,566.7776009151642,544.3934362722658,556.4661452304388,19477
2019-03-06,559.380126953125,563.5431150223687,554.0963095961143,554.0963095961143,2157
2019-03-07,566.8096313476562,576.4165742518538,561.910113920966,561.910113920966,13570
2019-03-08,562.3583374023438,573.2142288335132,561.685898367383,569.3394366894355,42523
2019-03-11,565.4326782226562,571.292949173503,560.405040347683,563.51128944588,47574
2019-03-12,568.9551391601562,570.01187933847,560.4049372224501,562.326325645654,3297
2019-03-13,571.19677734375,575.1036437299947,560.7252449241201,568.4428144512743,6370
2019-03-14,570.2361450195312,575.7441300390017,560.4050352913206,573.8547566074013,3858
2019-03-15,570.1400146484375,572.2535536982188,564.1836986485532,567.9944602755551,2920
2019-03-18,569.5635375976562,581.5401997110648,564.8881865464522,569.883808086672,7195
2019-03-19,571.5810546875,574.8153645828592,564.8882103633447,571.0366769237894,15508
2019-03-20,582.6930541992188,584.0700648710612,570.3641647054253,577.0570088591227,13212
2019-03-22,569.9798583984375,578.9783920310167,567.514092249261,577.0570036267502,339655
2019-03-25,559.6362915039062,573.2141279148353,553.4237955838768,570.0117753695168,4131
2019-03-26,568.4747924804688,582.8211750207777,561.7819483164753,561.7819483164753,12826
2019-03-27,568.9871826171875,576.5766907185712,565.5287067388571,568.5068354876347,4572
2019-03-28,573.8546752929688,574.4951576674039,565.5286976059291,565.8809247983883,3768
2019-04-01,576.80078125,592.4280685803343,576.4164801421254,582.1806449435466,4191
2019-04-02,574.7833251953125,577.0569993962904,566.809575103287,576.0963052012002,2227
2019-04-03,574.9755249023438,577.6974724756932,565.5607327130392,574.4311471148989,1435
2019-04-04,574.3350219726562,579.4907790152248,563.6393240081757,574.4311265786152,4132
2019-04-05,578.4019775390625,579.6188530309765,567.8984299198239,572.6378119554303,2818
2019-04-08,579.0104370117188,579.6188454316367,572.5737738004951,572.5737738004951,1716
2019-04-09,574.1748657226562,582.7250081165218,565.8488305606592,575.1995904699436,6096
2019-04-10,575.6800537109375,576.416582101214,568.7310276731978,570.7164469308015,5583
2019-04-11,573.2783203125,575.80811738287,567.4501238168922,575.80811738287,6919
2019-04-12,575.7760620117188,576.4165443841866,570.9405754853123,572.6377980680353,2599
2019-04-15,571.613037109375,578.1457458062583,570.0759498757976,578.1457458062583,1669
2019-04-16,571.7411499023438,573.2142064751874,569.3714298030322,571.6450453038686,2358
2019-04-18,573.7586669921875,575.7761015817304,563.6393614468135,573.2463045134505,2173
2019-04-22,568.5708618164062,584.646482872404,566.8096085667993,575.0395403543226,47761
2019-04-23,568.5068359375,572.5737788800068,564.2477424157952,570.0439232988356,33496
2019-04-24,563.7673950195312,574.4311364806783,561.0454474965721,574.4311364806783,7297
2019-04-25,571.0687255859375,575.1356686619281,561.0454661760581,562.9028241090599,13536
2019-04-26,569.9798583984375,581.5402041459582,563.6072847968846,573.2142268182172,32530
2019-04-30,569.3073120117188,577.0569542455797,556.2098801160349,577.0569542455797,27321
2019-05-02,570.6843872070312,576.064310069768,566.8095949691769,567.0017455421537,20599
2019-05-03,566.777587890625,573.1501617615043,562.9668262429581,571.6130744275769,56697
2019-05-06,560.9172973632812,568.0904885988093,559.7645112229566,562.582504565676,21024
2019-05-07,557.4588012695312,566.489349945737,557.1706047449968,560.4690037069728,26041
2019-05-08,560.3088989257812,566.1050795969741,544.6175794668583,554.6727948679659,18901
2019-05-09,556.4661254882812,563.6073015729987,551.4384884383918,560.4369637026954,27592
2019-05-10,554.9931030273438,560.5331028569404,552.7514439267259,554.704906467586,42078
2019-05-13,550.8619995117188,555.2811687497458,545.0657611768169,548.8765221138359,26457
2019-05-14,549.7412719726562,552.0789769296665,544.3934229985626,548.4282919034937,34902
2019-05-15,537.956787109375,547.7878959200755,531.7763048736815,546.9872782542739,39951
2019-05-16,539.75,543.0804143463438,534.8504830812387,534.8504830812387,19588
2019-05-17,547.2434692382812,549.4210388588152,536.0673659654427,536.0673659654427,33595
2019-05-20,558.8038330078125,566.8095987555964,548.2682117438667,554.0003618319176,49945
2019-05-21,554.7368774414062,564.1836843252022,550.8300113081646,559.1560473673828,60721
2019-05-22,563.703369140625,569.9478818796292,548.8766386419715,555.2492713135057,58450
2019-05-23,574.078857421875,576.4165624503347,563.6073250523689,563.6393403765773,21141
2019-05-24,586.8881225585938,594.3495104262017,573.2142375823792,576.4165321042511,54270
2019-05-27,612.314453125,620.6084740268601,589.2257762283217,589.2577915512467,74199
2019-05-28,634.0581665039062,640.4628139937635,610.4571281647817,620.60844782049,19246
2019-05-29,627.4614868164062,645.394407677356,611.642046469435,645.394407677356,7119
2019-05-30,620.70458984375,644.4657671040746,616.1252840638379,640.4629131100482,77601
2019-05-31,605.6536865234375,624.4512548141063,586.4398017599266,620.7045238307725,66841
2019-06-03,606.8065795898438,614.8443613248877,599.8254795102483,614.8443613248877,61483
2019-06-04,605.8137817382812,611.5139166960901,599.4732230261088,611.5139166960901,58434
2019-06-06,626.0524291992188,628.9345119035075,605.9738962382244,610.3610509406757,84301
2019-06-07,624.3231201171875,630.7917984102951,616.7656863191677,616.7656863191677,51552
2019-06-10,628.9344482421875,634.0581307635917,623.170283417064,630.8238211974602,62749
2019-06-11,621.4090576171875,632.7773122396411,615.2286341448468,632.7132229551305,71149
2019-06-12,625.76416015625,628.7423473997077,616.76568505352,626.3406118660102,68451
2019-06-13,625.8283081054688,633.7060131217191,599.7614419725675,625.7001881681375,80229
2019-06-14,613.7554931640625,622.1455600167994,605.8778473853998,618.1427064817548,69792
2019-06-17,626.8529663085938,636.6200435665661,609.1121389075599,609.1441542294518,109903
2019-06-18,620.22412109375,630.4715449274034,614.6841220594727,626.8529341971788,288160
2019-06-19,618.0146484375,623.7788143958218,614.8443688876488,617.4062399700567,296299
2019-06-20,619.199462890625,620.9287008230131,613.0830701618152,613.0830701618152,258501
2019-06-21,616.8617553710938,623.81078103198,614.3959890954603,619.3275802828509,234732
2019-06-24,612.9549560546875,623.1703657637237,603.4441180181274,619.9039818100822,289998
2019-06-25,616.6697387695312,624.3232197561056,605.2374523266859,605.2374523266859,304143
2019-06-26,624.06689453125,633.2575782054278,612.6666846819785,618.0465484515462,306480
2019-06-27,617.4061889648438,624.4512605642972,614.8443180940773,624.1310486939977,238425
2019-06-28,636.3958740234375,640.3346967714559,616.7656736545208,618.462896157891,460905
2019-07-01,642.2240600585938,659.5485706394322,638.5734338976761,646.2269720251749,274431
2019-07-02,641.8718872070312,647.379812917673,635.3711346378229,647.379812917673,255984
2019-07-03,644.3375244140625,649.7494030686137,634.0901014563468,641.8717586042637,90517
2019-07-04,640.36669921875,662.8789817222334,637.0042696013184,643.6330828729883,80598
2019-07-05,634.3463745117188,650.069767672515,629.5749187885966,646.098870911565,70228
2019-07-08,636.3638916015625,640.2706992298537,626.372647995045,634.6986843338095,81927
2019-07-09,625.3799438476562,632.5851507505513,622.529876410139,630.2154304398938,104572
2019-07-10,633.2896118164062,635.7553778956654,609.2402421230781,624.4512136801708,85212
2019-07-11,620.192138671875,635.9795623772568,614.2678968442036,635.7233811655351,79669
2019-07-12,628.6141967773438,631.4962792770403,615.0044018417443,616.1251726119917,2941
2019-07-15,623.2664184570312,632.7132259474679,619.0073248689924,631.5283657661046,3666
2019-07-16,621.5050659179688,628.8703484247509,616.7015953108865,619.0072260206165,2863
2019-07-17,622.0175170898438,627.5895320622315,618.0786354480982,627.5895320622315,4359
2019-07-18,614.5881958007812,622.4018118198411,611.6420821303901,619.3596521699877,16750
2019-07-19,610.0087890625,616.0611506701064,598.0001118108526,616.0611506701064,7344
2019-07-22,605.3333740234375,611.641975416272,592.4280919857725,611.641975416272,8130
2019-07-23,619.199462890625,621.5371678815865,601.2664839122283,601.2664839122283,5632
