Price,Close,High,Low,Open,Volume
Ticker,RHIM.NS,RHIM.NS,RHIM.NS,RHIM.NS,RHIM.NS
Date,,,,,
2019-01-01,221.76467895507812,227.40682501194814,221.14309339418776,224.20323274115526,30846
2019-01-02,221.3343505859375,226.3548965176621,219.9477265326974,223.62946605272032,22342
2019-01-03,221.14309692382812,223.6772714410078,220.13898480860567,222.768794609862,16802
2019-01-04,219.1348876953125,223.24695712989478,217.5570075432956,221.19092970855198,16929
2019-01-07,224.01197814941406,239.93427513522894,218.94361457279848,219.9477266781867,175308
2019-01-08,226.88088989257812,228.31533176755752,221.38219603849035,224.6335917850181,27413
2019-01-09,220.47369384765625,228.5543792326924,219.32614339750305,228.5543792326924,29812
2019-01-10,219.0392608642578,224.4423190196155,218.03514870840564,224.4423190196155,18146
2019-01-11,217.65261840820312,221.66905210142372,216.4572503690366,220.61712239019917,22732
2019-01-14,217.4613800048828,222.24285286859526,215.40535251024534,219.70867808758655,24549
2019-01-15,218.46548461914062,220.85622096776746,216.5050778948873,216.5050778948873,18502
2019-01-16,217.1744842529297,219.75647645442572,215.74004251966568,218.46547305772978,29988
2019-01-17,217.1744842529297,219.70865881160444,215.40533361181238,219.70865881160444,21474
2019-01-18,215.54876708984375,219.13487134217186,215.21407278143047,219.13487134217186,8069
2019-01-21,209.4285125732422,216.8876131997097,208.13750905623726,215.64442732998225,39922
2019-01-22,208.32876586914062,209.42849872431344,206.0814679227833,209.42849872431344,18752
2019-01-23,203.73854064941406,208.3287570440146,203.11694048603835,208.3287570440146,33108
2019-01-24,186.7643280029297,207.42028146912438,184.6604829172844,204.7426684102468,56275
2019-01-25,191.78488159179688,198.9092733187276,180.50060259091268,184.66048986486615,97468
2019-01-28,187.67279052734375,198.28766502577596,180.26150835365246,198.28766502577596,40069
2019-01-29,189.48974609375,195.80129552244048,184.42139700404843,186.47742430708618,51992
2019-01-30,197.37918090820312,198.33547541762638,187.05121187994882,187.05121187994882,24227
2019-01-31,199.72210693359375,205.2686032148852,195.75347610734374,198.2876652211434,23444
2019-02-01,194.55812072753906,202.9735155755526,194.12779110406208,201.77814740372958,9567
2019-02-04,197.57044982910156,202.73443429998426,191.54579155180772,191.54579155180772,21138
2019-02-05,193.07586669921875,198.71801338383824,191.73706014593117,196.040385685366,15776
2019-02-06,191.4980010986328,193.88873769162447,189.82448548353864,193.3149550725472,21986
2019-02-07,195.80128479003906,197.9051296203198,191.49795984959863,191.5457774895381,36411
2019-02-08,195.75347900390625,197.71388562497563,194.3668549130655,196.3272615341349,6181
2019-02-11,189.20286560058594,194.6059234871819,187.481532646448,194.3668498711043,23266
2019-02-12,192.69334411621094,200.48713855015774,189.44194861304328,191.16326706066366,39170
2019-02-14,190.82858276367188,193.21931916864924,189.34632327420653,193.21931916864924,17613
2019-02-15,177.82298278808594,191.1632899025388,175.00191655973754,188.39004132387043,93876
2019-02-18,181.36126708984375,182.60445300218365,173.1371421926292,174.3803281049691,29270
2019-02-19,184.0388946533203,187.29030508028944,178.58801829833698,180.73968116940128,23775
2019-02-20,178.3011016845703,185.18641897612002,175.5756711899442,185.18641897612002,46415
2019-02-21,182.1262969970703,184.46921576308497,177.87078910093803,181.4090760732762,29082
2019-02-22,185.99928283691406,187.3859069628203,180.6440277256737,180.6440277256737,25780
2019-02-25,186.0949249267578,187.33809616596906,182.65225871628894,184.85173909564978,18099
2019-02-26,196.0881805419922,197.9529518073051,183.2738261143048,183.51289972759864,27273
2019-02-27,200.3437042236328,202.7344405508838,193.17149524187985,200.05681294598338,26629
2019-02-28,205.98582458496094,210.1457113982024,199.7221074318189,201.15654914784758,24541
2019-03-01,207.80279541015625,211.05419083649977,204.59920303475337,205.4120591872872,28418
2019-03-05,208.99818420410156,212.82336253923262,206.0814828051847,210.3848084322071,43568
2019-03-06,205.4598846435547,213.06242320301587,202.7344394090797,210.3847956131959,27401
2019-03-07,215.35752868652344,216.83978815014078,205.69896253398156,205.69896253398156,70929
2019-03-08,225.2073516845703,236.20473828487843,210.2413488000398,214.2099650842622,268860
2019-03-11,232.42739868164062,234.7703174650509,227.55029052687053,228.02843781295007,186411
2019-03-12,239.886474609375,240.8905721334317,223.10350367441453,234.29214610042294,122953
2019-03-13,232.3795928955078,237.68703096026627,231.42329827453864,237.25670129920974,35659
2019-03-14,225.58987426757812,237.06540865185977,224.87265336856052,237.06540865185977,13838
2019-03-15,226.45053100585938,231.4232592785905,225.20734528970274,227.59808143927495,16029
2019-03-18,226.7852325439453,232.76207310848,224.25105798134098,232.76207310848,10985
2019-03-19,234.33998107910156,237.1132294217597,226.59398943086828,226.59398943086828,62321
2019-03-20,232.33175659179688,238.45205042973026,229.55850825041392,238.45205042973026,11710
2019-03-22,227.74154663085938,235.2006472156147,225.44644549334873,232.3317634977778,12522
2019-03-25,221.14309692382812,231.13637125022308,217.2701013890533,231.13637125022308,27328
2019-03-26,229.8931884765625,231.90141273286315,218.03514269316616,225.49424259841683,27305
2019-03-27,224.29888916015625,234.33998191453128,222.1472264270759,234.33998191453128,8967
2019-03-28,231.47108459472656,232.2839261573948,221.28653950472804,228.7456394570899,26317
2019-04-01,232.18832397460938,234.1965338118026,225.82895634375475,225.82895634375475,29623
2019-04-02,224.92047119140625,231.99705948911398,221.76469631485395,231.61453292086415,23162
2019-04-03,228.84129333496094,232.37958032273008,222.19504899719644,222.19504899719644,18813
2019-04-04,225.01611328125,227.64592332586494,221.04748209514744,227.5981056794016,11096
2019-04-05,227.35903930664062,229.2238108431421,223.96419058578553,224.251081881839,14256
2019-04-08,225.63768005371094,229.51067562323212,222.81661425088785,229.27160200279127,16692
2019-04-09,225.8289337158203,228.26748753768908,224.72920090982834,225.68549538178505,9409
2019-04-10,225.5420684814453,230.89730904074565,223.7729177818813,229.31942891878583,15155
2019-04-11,228.31532287597656,229.5106910585733,225.82895121941664,227.4068459755824,10714
2019-04-12,230.08445739746094,232.37955830943784,227.88497717821056,229.7975661354899,16273
2019-04-15,229.9888153076172,234.67465227754232,227.59807918175838,234.67465227754232,12555
2019-04-16,225.58987426757812,230.99294712864867,222.81662596146867,229.51068768563297,47334
2019-04-18,225.87673950195312,228.2196579168926,222.14719709383684,222.8166002706917,21427
2019-04-22,226.40272521972656,229.51068237691393,224.7292098273949,225.87676032090022,18123
2019-04-23,227.45465087890625,229.51067820103214,226.06801219125828,227.55027157301913,13325
2019-04-24,229.1759796142578,230.5626183643617,226.4027312978433,229.5106885384684,10394
2019-04-25,226.88088989257812,231.32765386825537,224.92048307839343,229.5585176442525,13576
2019-04-26,228.50657653808594,229.8932006973876,225.35080164981193,228.55439418328186,16844
2019-04-30,229.4150390625,232.09266651492635,224.8248372490785,228.65001515486023,21985
2019-05-02,229.46287536621094,231.3276468285565,224.82485553339217,224.82485553339217,18688
2019-05-03,225.92457580566406,230.89730429126135,224.72920767970817,225.73331982389033,38573
2019-05-06,221.6690673828125,229.3672410041196,220.3302463315135,224.8726451934896,28856
