Price,Close,High,Low,Open,Volume
Ticker,BASF.NS,BASF.NS,BASF.NS,BASF.NS,BASF.NS
Date,,,,,
2019-01-01,1520.6134033203125,1537.9744186995051,1497.0729785442995,1510.5105897941569,7328
2019-01-02,1505.0179443359375,1520.0739846998422,1495.7979200950213,1517.719918124936,7273
2019-01-03,1527.1361083984375,1534.5415822718417,1486.0875128383975,1504.6256230137456,13056
2019-01-04,1514.238037109375,1527.1361338080342,1500.7513339407499,1520.3192662813783,6428
2019-01-07,1506.047607421875,1519.3381862534889,1500.7020174098373,1510.5596177702519,2263
2019-01-08,1490.4522705078125,1515.5620336027698,1486.0874114675594,1501.6829672094352,10543
2019-01-09,1488.294189453125,1509.5296368155734,1485.9892136293656,1509.4805463741552,3529
2019-01-10,1489.471435546875,1500.7021323698577,1487.9510685000485,1487.9510685000485,2562
2019-01-11,1474.660400390625,1498.4460373395627,1471.276512305438,1490.9426229130363,4472
2019-01-14,1471.4727783203125,1496.7296942481862,1471.2766559926338,1489.8637365202205,54025
2019-01-15,1480.9378662109375,1494.5226286859986,1472.6497231103576,1472.6497231103576,5808
2019-01-16,1517.76904296875,1526.204338631593,1484.7633789226052,1487.7550227237123,11752
2019-01-17,1484.0767822265625,1525.2234373540225,1476.4751863169201,1517.3275382257264,12300
2019-01-18,1483.9296875,1514.434133469833,1478.142641929429,1495.7979621382742,4207
2019-01-21,1478.093505859375,1509.5298312651973,1472.2574897524764,1509.5298312651973,4625
2019-01-22,1494.1796875,1499.9667336657083,1470.4431357823953,1479.1727356188553,6782
2019-01-23,1441.9981689453125,1509.5297385661888,1420.2722946353747,1494.1793959655947,59730
2019-01-24,1380.9403076171875,1436.995972739809,1364.8543253978817,1436.9468822909787,18573
2019-01-25,1343.9130859375,1397.41843870944,1334.0554850224441,1385.8444681949995,8434
2019-01-28,1325.91455078125,1367.3064188682156,1309.3381434208645,1363.3830145099137,31347
2019-01-29,1315.2720947265625,1346.1199303794936,1306.542616651489,1324.148844130329,3974
2019-01-30,1329.6417236328125,1343.5698810549852,1309.6814277481242,1313.5067709743828,5801
2019-01-31,1326.7972412109375,1352.5936731533197,1306.5917324040834,1309.8775596577143,12835
2019-02-01,1321.794921875,1338.8617550062552,1314.340477442038,1317.3321211979928,3474
2019-02-04,1339.401123046875,1353.5743720202036,1319.931135025427,1331.0147991532,4961
2019-02-05,1301.687255859375,1353.7214460128328,1294.7232381462054,1343.8148754856945,7217
2019-02-06,1286.778564453125,1323.8546636868114,1275.1064125760613,1301.6384823616288,8198
2019-02-07,1313.114501953125,1318.0187577960871,1290.5058346239457,1293.6936009218712,9786
2019-02-08,1313.506591796875,1323.217040282668,1299.676617157247,1317.9693918413993,2014
2019-02-11,1267.112548828125,1333.9575794198813,1260.4918034890925,1333.9575794198813,4756
2019-02-12,1248.3289794921875,1285.8465290305608,1236.8530710559164,1283.9339175354437,7690
2019-02-14,1237.2454833984375,1260.3935432025253,1214.8820325597828,1236.7550578952457,7440
2019-02-15,1183.5438232421875,1240.3351172166865,1174.618103540138,1218.9525186049357,15452
2019-02-18,1197.7171630859375,1225.9166300642228,1165.2510180940176,1184.8680386006508,12342
2019-02-19,1175.8934326171875,1220.1788880721565,1171.3324506082974,1196.5893689104341,5654
2019-02-20,1176.6781005859375,1201.444592008556,1153.530037499873,1201.444592008556,11453
2019-02-21,1259.559814453125,1274.1254276120637,1176.677906344411,1176.677906344411,28091
