Price,Close,High,Low,Open,Volume
Ticker,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS,DEEPAKNTR.NS
Date,,,,,
2019-01-01,217.37008666992188,218.38967984095996,210.42705308763192,216.10771558067972,117461
2019-01-02,214.21417236328125,217.75850781220927,210.81548885227687,216.4475811025596,185150
2019-01-03,212.66049194335938,217.1273392534785,211.68943946873216,216.78746496052503,386933
2019-01-04,214.50546264648438,216.39902662200691,212.3205948135737,214.01993646139312,192618
2019-01-07,214.8453369140625,218.34113137373478,213.48586952256954,214.69968498536085,64405
2019-01-08,216.8845672607422,218.9723240689338,212.6604832421131,214.84535122062795,99499
2019-01-09,214.4083709716797,217.46718007757283,212.66047370384777,216.73889078406648,72565
2019-01-10,215.427978515625,217.03020903130454,213.6315256683982,215.427978515625,46839
2019-01-11,209.06759643554688,214.60259246326393,207.9508772225235,213.77719195003291,115098
2019-01-14,211.30101013183594,213.53441881893863,204.40653210088695,210.23284655506902,117285
2019-01-15,213.0974578857422,216.05917083134153,211.00970103825068,216.05917083134153,64818
2019-01-16,214.06851196289062,216.05917247041702,211.7865475708696,211.7865475708696,86847
2019-01-17,219.70059204101562,223.34203831793855,212.660462572298,214.60256725332354,234451
2019-01-18,224.3616485595703,225.7696715044611,218.48677887528493,220.23467606970382,227900
2019-01-21,224.3131103515625,225.624037053178,219.991930020328,223.34205792579814,225416
2019-01-22,224.118896484375,225.2841563988835,221.39994680579932,224.41021516727304,176752
2019-01-23,223.2935028076172,224.84719261891988,218.63244819079324,221.44850912164387,162104
2019-01-24,213.00033569335938,222.12822171913783,210.71835677837336,220.6716432160615,228792
2019-01-25,209.6987762451172,215.37943907572475,206.8341744450927,215.37943907572475,109209
2019-01-28,208.19361877441406,212.5148136034562,200.03678492750436,211.3009981609349,192275
2019-01-29,203.14414978027344,208.776256404844,201.00783756187303,208.776256404844,116407
2019-01-30,202.94996643066406,207.36825813694955,201.00786148874383,204.16378201936422,216253
2019-01-31,213.00033569335938,216.78743387452468,202.22164884376156,203.87243485049814,166520
2019-02-01,221.54559326171875,227.22625557800214,214.3112560368614,215.13665648181998,206183
2019-02-04,220.76878356933594,224.99285289656865,210.7183846422826,222.71088849691458,207023
2019-02-05,216.10769653320312,223.34203334554448,214.79676997586367,220.76875062730923,58532
2019-02-06,221.1571807861328,223.53625616706748,211.8350719589838,213.92284347795044,138898
2019-02-07,224.07032775878906,228.1973002093843,218.97230296687727,219.45782913753555,446426
2019-02-08,220.33180236816406,227.71180716252556,216.2048293172441,219.55497223577655,80138
2019-02-11,217.2244415283203,222.4681339244069,212.36917902291717,222.4681339244069,81802
2019-02-12,214.89390563964844,219.31219715786352,213.6315345177178,218.38968549605147,59146
2019-02-14,213.82574462890625,215.96205703652984,205.2804801813275,205.2804801813275,79697
2019-02-15,210.91259765625,213.1460213444609,205.96023885239285,210.23286387733845,74862
2019-02-18,207.8052215576172,212.17495752495026,206.3486429018395,210.8154900397248,61947
2019-02-19,207.99940490722656,212.07782170597952,207.31967124361483,209.06756839081828,39129
2019-02-20,210.03863525390625,211.3981026752313,207.3196855941725,207.8052117899434,57007
2019-02-21,211.10679626464844,212.56337493662278,209.06759501413504,209.74732876430616,50042
2019-02-22,210.62127685546875,215.91352472187785,208.82483865882594,208.82483865882594,70507
2019-02-25,221.83692932128906,222.95364852945357,211.54378223772542,211.98075287697046,127512
2019-02-26,216.69032287597656,219.94335412877612,212.126379859679,216.9330859600039,87370
2019-02-27,220.57455444335938,226.25521710876066,215.71929227364348,217.90416025001562,114494
2019-02-28,225.81822204589844,228.39150479061377,219.5549374879991,219.5549374879991,174514
2019-03-01,227.08059692382812,228.19730119432893,226.3037520840053,227.22624884882114,110076
2019-03-05,234.36349487304688,237.76217816002324,226.4494091859805,227.08060211524037,196455
2019-03-06,242.3746795654297,248.3952013478435,235.43164616990734,235.43164616990734,693527
2019-03-07,249.9974365234375,252.5707192948949,244.8508413463571,244.8508413463571,434907
2019-03-08,245.04507446289062,250.5315144929771,243.734147820687,250.5315144929771,251633
2019-03-11,250.24021911621094,256.35783747501574,246.55020215993343,246.59875774408414,196310
2019-03-12,255.92083740234375,258.2999275359466,252.47361338100043,252.47361338100043,847999
2019-03-13,249.36624145507812,257.47453482399885,247.81256652409,256.30928973857044,115957
2019-03-14,251.69679260253906,255.53243178175333,246.4531007800207,250.53151787503475,130168
2019-03-15,254.02732849121094,257.3774416848956,244.70521898403297,253.44469109060557,407971
2019-03-18,263.9320373535156,265.04877134999026,255.82377330926826,256.3092995219378,299261
2019-03-19,263.54364013671875,266.94232385529807,256.5520799818577,265.5828562947004,255837
2019-03-20,258.78546142578125,266.5538805304951,257.81440903769203,263.9805976288921,121471
2019-03-22,259.8050537109375,263.34941862294613,252.71638315525425,258.2999343680985,313427
2019-03-25,251.2598114013672,259.70797923258755,250.04599588735093,258.49416371857126,99313
2019-03-26,263.88348388671875,265.0972993599787,255.28966440920476,256.5520502818952,529148
2019-03-27,267.5249328613281,268.8844002775287,258.0086313137572,265.5342873198381,234590
2019-03-28,266.8937683105469,271.36061544882347,264.9030930336418,266.99087948110764,116651
2019-04-01,264.2233581542969,271.79755485400835,261.45585294834456,268.0104565041526,107450
2019-04-02,263.5921630859375,270.0496550618292,262.2326661359267,266.650971955132,81263
2019-04-03,262.669677734375,266.408235451513,257.32888946251154,263.15520394090805,97864
2019-04-04,263.6893005371094,265.67997598802674,254.99839824433846,262.0870698023904,184166
2019-04-05,272.57440185546875,276.60426311248847,257.960046456419,265.09728703417204,572893
2019-04-08,264.32049560546875,275.53613984046103,262.18416830634175,273.6425756601362,172717
2019-04-09,262.669677734375,265.92270924497996,260.97033601150935,263.83495248372145,86101
2019-04-10,261.69866943359375,265.77710210960464,260.97038000103277,262.03854376229015,86779
2019-04-11,259.27099609375,263.7378431517868,258.2999436739232,263.20374654038125,79234
2019-04-12,261.6501159667969,263.0581243542808,258.63984719805984,258.6883879708736,70289
2019-04-15,264.0777282714844,267.0394264199286,261.3102228344803,261.6500971222123,154894
2019-04-16,260.7761535644531,265.6799867810449,260.2420865092412,265.38865323206096,86453
2019-04-18,259.27099609375,264.1262581928839,258.2999436739232,261.31021210221985,75178
2019-04-22,253.29904174804688,263.1552183536466,251.988114991776,259.27100848864814,292549
2019-04-23,248.4437713623047,255.4839015143749,247.61837086591794,253.44468547452777,106559
2019-04-24,254.6099395751953,258.6398009254191,247.37558766994462,248.68651427726627,149901
2019-04-25,254.6099395751953,263.1551884536015,253.44466489442806,255.38676960626273,109181
2019-04-26,259.0282287597656,261.9899267382159,255.38678224486733,256.64913851636504,159180
2019-04-30,256.4549560546875,262.42692265070986,254.9012662194684,261.2131070972838,64666
2019-05-02,259.0767517089844,260.24202636728023,255.38676468132348,255.9694020104714,60962
2019-05-03,265.1458740234375,266.45680082899014,258.8340327555335,261.2131232409502,264806
2019-05-06,278.0123291015625,295.19997083615186,267.03944730244,267.476432797149,2647123
2019-05-07,275.24481201171875,285.48940288046305,272.86572180071465,280.63414092671366,454958
2019-05-08,263.9320373535156,279.3232242219749,261.1645616486336,277.13835626496177,574555
2019-05-09,265.43719482421875,272.8657401871782,259.3681169730804,263.1552156253569,336018
2019-05-10,273.1084899902344,275.19624674243727,264.70889258047936,266.5538862304687,541821
2019-05-13,271.7489929199219,279.08042595386667,270.8750517740595,274.80780174752255,404514
2019-05-14,268.3017883300781,275.58468192898545,265.63139401047874,270.9236418793527,257386
2019-05-15,274.8564147949219,281.4110195639662,269.564196132271,269.564196132271,343918
2019-05-16,273.5455017089844,280.0029949214398,272.3802268527376,276.1673256842838,119466
2019-05-17,275.92449951171875,281.70227243298723,273.3512168958376,274.1280468663876,322751
2019-05-20,281.45953369140625,291.2185980979914,279.6630808907953,283.79005343866294,578630
2019-05-21,276.8956298828125,285.9749771907453,275.2933990953355,284.51839835955303,195997
