Price,Close,High,Low,Open,Volume
Ticker,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS,JUBLINGREA.NS
Date,,,,,
2021-03-19,260.476318359375,260.476318359375,235.7567434023053,248.11652348494692,797366
2021-03-22,273.4661865234375,273.4661865234375,273.4661865234375,273.4661865234375,103188
2021-03-23,287.1346740722656,287.1346740722656,284.03259971633696,287.1346740722656,807676
2021-03-24,272.7875671386719,284.71113552342985,272.7875671386719,281.0274192032447,372598
2021-03-25,259.1676025390625,259.1676025390625,259.1676025390625,259.1676025390625,64156
2021-03-26,246.22618103027344,246.22618103027344,246.22618103027344,246.22618103027344,125005
2021-03-30,258.489013671875,258.53750114254717,233.91487423803636,233.91487423803636,1603528
2021-03-31,251.751708984375,258.8282754690153,245.6445072063148,245.6445072063148,537255
2021-04-01,264.305419921875,264.305419921875,252.04258469845354,253.01197925498604,527640
2021-04-05,277.4891662597656,277.4891662597656,266.5834785028316,270.36411100852115,431503
2021-04-06,332.9870300292969,332.9870300292969,291.7877613939399,296.87708281360165,3641770
2021-04-07,320.4817810058594,339.19108030135084,309.81844305673474,332.50226514088627,1610389
2021-04-08,313.4537048339844,330.66045651415,311.6603191646895,324.7471443862239,521383
2021-04-09,323.63238525390625,329.49721060780604,303.51744779323013,312.2419989809933,704343
2021-04-12,299.5428771972656,317.1858675581702,293.2902713252539,313.1143991414783,603548
2021-04-13,308.07354736328125,314.0838048449778,297.4102083099024,301.4816768728028,319966
2021-04-15,301.5785827636719,312.14497507142596,295.9076200017167,312.14497507142596,288127
2021-04-16,291.8362121582031,305.9893782485695,287.9101761352428,295.5683870248191,577405
2021-04-19,304.29290771484375,318.9307696233913,286.45605599912506,292.75711983666923,1202262
2021-04-20,306.9103088378906,315.7802627181715,301.48169364651216,307.7827579831756,569326
2021-04-22,325.5711669921875,334.15031471482143,303.8567348916607,308.2674682804833,1102639
2021-04-23,320.1909484863281,330.5150221907408,313.3082721281442,327.8491876740005,400051
2021-04-26,318.1552429199219,332.98696489400027,315.05316911368294,332.98696489400027,523268
2021-04-27,316.11956787109375,326.68596252261796,312.14504430944504,318.7369153993206,609651
2021-04-28,321.49969482421875,329.1094479166197,310.4486029316567,310.4486029316567,2084800
2021-04-29,364.8800964355469,372.6352527023325,317.9614069382088,327.6553522716908,3772871
2021-04-30,397.59710693359375,418.7783804738093,358.67592772062375,359.64532211986864,4805983
2021-05-03,420.3294677734375,435.93672538732284,398.71195233093925,402.2987238711716,2332322
2021-05-04,396.046142578125,442.77097302038356,380.63277472138816,430.4111921643137,1768388
2021-05-05,405.5461730957031,414.90082359891784,385.2373475837764,402.29869577932453,1047432
2021-05-06,405.5461730957031,416.7426671327596,399.4874577978217,408.066604576336,593610
2021-05-07,403.94671630859375,411.99267915033556,402.29873375856295,411.99267915033556,441798
2021-05-10,408.2604675292969,419.4569911996613,393.1863956346344,411.02324763411775,941975
2021-05-11,425.7095947265625,445.43677899484413,400.8930892619306,402.8318782891116,864569
2021-05-12,428.0361328125,449.5082448134252,415.91870147273306,426.53358315979796,1016524
2021-05-14,411.4110107421875,434.8703689543754,401.76555343164233,431.38054291520103,647034
2021-05-17,410.6354675292969,416.8395856784956,403.268064284312,412.96200813730024,430937
2021-05-18,409.47222900390625,419.74781657345824,405.20689914019755,419.74781657345824,319258
2021-05-19,406.515625,420.28101035223403,404.2859997051035,412.7197444252023,611215
2021-05-20,399.87518310546875,410.0538241299716,397.45169714725375,410.0538241299716,509590
2021-05-21,423.5769348144531,435.2581266013958,401.3293194052959,403.8982088905719,1070676
2021-05-24,469.42926025390625,478.5900495977102,423.3830240906424,426.53355603865515,1985360
2021-05-25,457.21490478515625,484.01865648724123,449.799042861588,478.3961802849002,1354919
2021-05-26,469.7685546875,488.2839945322414,448.0541250027581,457.5541787449668,1086601
2021-05-27,462.4495849609375,477.0389883766386,460.46233828178066,471.9981256820209,398914
2021-05-28,469.0899963378906,479.85028128958373,463.56446539439656,467.24815269005927,576746
2021-05-31,470.44708251953125,478.73542224930947,465.30930411996746,470.1562760378838,344233
2021-06-01,456.48785400390625,475.92423104776014,450.2352773677932,473.74309347115917,388392
2021-06-02,486.6360168457031,499.23814477198624,446.8908441551178,453.67660534619336,1436166
2021-06-03,505.87841796875,513.6820898213176,484.648717200334,492.45232988576595,1246978
2021-06-04,554.34814453125,581.636619601054,511.7917673640548,512.6157289083017,3630077
2021-06-07,571.4095458984375,578.6315460748704,539.2256397042355,562.0548661899712,2358385
2021-06-08,556.0447387695312,592.8817348863076,544.4605202191622,581.6367807912055,1828933
2021-06-09,536.8021240234375,564.1875145492381,519.8861806970822,560.6977185384684,797784
2021-06-10,563.3151245117188,573.7846325240249,541.40683231412,541.40683231412,1150997
2021-06-11,558.613525390625,573.8814872559653,554.4935991729935,569.0345152352223,356954
2021-06-14,550.1314086914062,563.2182351536688,538.0139767819039,562.2488406009086,402211
2021-06-15,546.4476928710938,561.4733076592502,543.8303158810181,552.8941308121771,746461
2021-06-16,534.330322265625,550.0345268222076,529.7256978560587,549.355938759999,356739
2021-06-17,547.0776977539062,554.4935884693462,524.4423625208326,526.6719577739077,439426
2021-06-18,535.1541748046875,554.3966894368734,509.2713320986254,552.5548163820773,601877
2021-06-21,530.016357421875,538.9347972174077,520.6132204544888,526.3811286329733,260753
2021-06-22,537.1414184570312,547.1746860922764,527.350558591219,534.9118231493565,1202659
2021-06-23,528.4654541015625,541.5522803161246,527.35062672013,538.983361133074,233356
2021-06-24,523.1821899414062,533.7485538136933,521.534207563632,530.2587575042876,191350
2021-06-25,532.8277587890625,542.8609691047637,524.4424719387092,528.3200502894575,598968
2021-06-28,523.3760986328125,540.4374176579367,520.1285916542234,538.1108472603548,298114
2021-06-29,514.4577026367188,528.3200329523131,508.8352260460687,523.42460227857,339594
2021-06-30,507.42950439453125,528.0775930321162,502.1462931448117,518.6259977460893,420016
2021-07-01,539.37109375,557.4018067897331,499.2381399942826,507.42953490140354,1563086
2021-07-02,526.6234741210938,540.4373434376618,524.5877696781376,533.166885902626,941031
2021-07-05,534.6210327148438,552.4579140461664,530.6465391847267,530.6465391847267,898152
2021-07-06,528.901611328125,547.1262751169462,526.7689907787961,537.9654853313498,406073
2021-07-07,543.2486572265625,556.9170948965942,523.9576845806948,528.2715015878214,1408011
2021-07-08,544.8482055664062,564.7692521220284,535.1058019832924,548.4834351994449,1210071
2021-07-09,546.5930786132812,556.0446752209452,542.8609333632673,548.6288426136813,861258
2021-07-12,546.3992919921875,560.2131650936439,542.6670872679946,551.0039163593397,1570099
2021-07-13,542.6185913085938,554.4452164764847,540.9221508712734,551.5854907630011,461345
2021-07-14,545.0420532226562,566.1263834273566,539.952732138763,547.3686236707223,1273615
2021-07-15,545.8175659179688,551.2946685552477,541.4068327398201,546.738502534035,476952
2021-07-16,545.38134765625,555.7538811270014,539.3226317465994,549.646707323503,649539
2021-07-19,548.9680786132812,573.8815284203642,540.5343348588101,545.7690886835559,3772322
2021-07-20,569.81005859375,576.741252732799,543.1032527336284,554.4936377753422,9104621
2021-07-22,632.8207397460938,651.0453451456531,586.4836928701156,590.7490524851206,10833527
2021-07-23,610.2822265625,641.7390863602637,606.937804082633,632.0451424575408,2581763
2021-07-26,609.4098510742188,629.9125084072518,606.8409320878206,617.1164896991281,2362885
2021-07-27,599.9097900390625,620.3155925291344,588.810269841177,615.4686198079102,1453718
2021-07-28,581.6851196289062,602.9148814492917,568.1135975216274,602.7694486170002,1643128
2021-07-29,574.0753784179688,593.1724600280183,570.634040113985,586.2412663660945,927640
2021-07-30,575.1417236328125,590.2643127708418,572.5243467466976,576.7897060549695,1429915
2021-08-02,595.5474243164062,607.5194806233847,574.1238318028594,581.6366383819598,2121066
2021-08-03,585.5628051757812,605.580827636186,583.5755580490777,598.6011745769194,1170426
