Price,Close,High,Low,Open,Volume
Ticker,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS,PIIND.NS
Date,,,,,
2019-01-01,848.4060668945312,851.15488267471,836.1835886022886,846.6389753158228,77264
2019-01-02,848.3079223632812,859.8923167481836,840.6014107696504,840.6014107696504,87402
2019-01-03,847.6207275390625,854.1000835150934,841.5830995325446,848.2588123392989,58164
2019-01-04,834.367431640625,851.6457538017526,831.1768279520305,848.9460122190957,60366
2019-01-07,848.6024169921875,852.921967492603,834.5637130866908,844.233732346336,29279
2019-01-08,839.0305786132812,848.2096755556438,835.4963356799868,848.2096755556438,60595
2019-01-09,840.2577514648438,856.0634868294851,832.5511806832008,840.3558999151826,47299
2019-01-10,842.5648193359375,854.0019305689044,839.3742155924574,842.9575329953194,36902
2019-01-11,826.5628051757812,849.7314752150612,817.2854983457548,845.8536521578897,84797
2019-01-14,828.5261840820312,830.3914241856532,813.6039636545938,824.6483613512625,141805
2019-01-15,826.759033203125,837.4107164729182,813.8493364080296,834.4655439648071,49891
2019-01-16,819.8380737304688,836.036527343237,817.3346883378912,832.5023432501519,27595
2019-01-17,840.1104736328125,844.2828014305799,817.1381036725234,817.1381036725234,74633
2019-01-18,840.0123291015625,847.2279779470247,828.7225008902175,847.2279779470247,58808
2019-01-21,835.447265625,844.1846346740297,830.5386447928908,844.1846346740297,23745
2019-01-22,847.7188720703125,849.142384186853,831.2749912281843,832.2567154575651,37110
2019-01-23,852.4312133789062,861.463089088906,839.8160798598421,850.1241851993675,106858
2019-01-24,837.6071166992188,855.0817958356884,830.2441850473615,855.0817958356884,37792
2019-01-25,835.3001098632812,846.7862963384055,834.4656681629971,838.5889222719771,30145
2019-01-28,831.2260131835938,847.228107990199,816.156508567059,834.416617298273,40747
2019-01-29,838.4905395507812,855.425280471864,829.1641604927936,829.5568741052142,29499
2019-01-30,828.4771118164062,839.9141632842321,825.4337307142999,839.3742269350545,38634
2019-01-31,836.919921875,849.1914749816715,816.8927232370348,828.4771173054871,118044
2019-02-01,832.0603637695312,848.160665198746,817.2854260099858,843.2520440215088,132967
2019-02-04,821.8994140625,838.6868719096573,817.874309371414,831.5202980895165,15070
2019-02-05,816.84375,828.7226508277358,811.935128150448,819.7398488751757,26930
2019-02-06,824.94287109375,831.6185839758454,816.7945718441472,819.1507340000362,128309
2019-02-07,837.1654052734375,839.4233592022849,820.7705973140464,828.5262433301926,161053
2019-02-08,828.9679565429688,839.3742093222452,820.7214491150842,839.3742093222452,52057
2019-02-11,821.9976806640625,832.1094281860055,809.2352657537268,829.5569691718149,14519
2019-02-12,868.138671875,898.2776158893226,832.5511706990569,833.8274001366015,899982
2019-02-14,883.7482299804688,888.509568884489,873.7346301009901,886.4970460462855,188932
2019-02-15,878.8395385742188,887.1351202629022,867.8932894929801,887.1351202629022,24566
2019-02-18,867.0590209960938,880.8031628961958,860.0396674149459,879.870512711891,30740
2019-02-19,854.443603515625,868.8258865087581,849.4859084635522,868.8258865087581,27368
2019-02-20,883.944580078125,886.4970392798232,855.523649725248,861.9539318800495,101536
2019-02-21,888.0187377929688,911.0892597317862,874.8636676179727,886.3007202017802,164890
2019-02-22,888.6568603515625,899.2594709508868,886.055266953531,891.0129627515807,201137
2019-02-25,903.8244018554688,915.6541663919735,888.3131116771451,888.4603942739061,116365
2019-02-26,894.0072021484375,897.2959543809723,887.0859983282352,897.2959543809723,38517
2019-02-27,895.2341918945312,910.5490632218182,888.4602719307228,899.9955296049615,52193
2019-02-28,905.4442749023438,912.0218394419998,891.6019867753533,905.051621149341,82073
2019-03-01,913.1506958007812,927.7292747213867,904.4133273408227,905.4441256621319,315797
2019-03-05,935.73046875,970.1889650694367,913.9852532048019,922.7226227725955,260069
2019-03-06,946.185791015625,957.1811142608157,937.6447783198211,939.3627957043917,139377
2019-03-07,948.7874145507812,957.7701554973944,943.780584917874,946.3821781514164,97860
2019-03-08,970.9743041992188,978.2390872184625,947.3638492662112,948.345573462342,155697
2019-03-11,993.4557495117188,996.4499961368628,963.5622376436756,966.9982721131131,443163
2019-03-12,992.0324096679688,1019.7661212692751,971.9070614263128,996.4501690380883,192479
2019-03-13,984.3258056640625,996.4500757209685,971.906970407644,996.40100149428,138479
2019-03-14,992.916015625,1006.0711456717851,974.1159706562962,984.3750019331139,370846
2019-03-15,994.7811279296875,1011.1759341863558,980.6443352870517,992.9158878864007,150366
2019-03-18,984.9148559570312,1001.3096629516675,976.8647051055644,1001.3096629516675,291264
2019-03-19,987.27099609375,992.5231967575776,977.2083227339427,979.8589302197971,93818
2019-03-20,984.3258056640625,998.4135241460343,979.7607641079079,995.3702030550585,123777
2019-03-22,1003.2239990234375,1012.7466759707839,980.7915647645289,982.7059389672344,129930
2019-03-25,993.9959106445312,1006.1693166291934,983.6878049045139,993.5050484664351,149148
2019-03-26,1002.2423095703125,1014.8083080513525,986.7310185034792,994.4866640368958,150897
2019-03-27,1010.6360473632812,1015.6919515495194,993.5050060154716,1014.121216614607,262687
2019-03-28,1006.8072509765625,1015.1027721166208,999.3951857008898,1015.1027721166208,27764
2019-04-01,1016.3792114257812,1030.4669311033022,1007.9854207605359,1013.0903391631819,370238
2019-04-02,1039.3515625,1069.932301179389,1012.1578448656558,1016.0847424209057,214325
2019-04-03,1026.1964111328125,1040.6277097377608,1013.7775753458949,1035.7190884654128,93339
2019-04-04,1013.9249877929688,1042.9348713238558,1002.5369490309782,1021.0424895493251,241154
2019-04-05,1032.969970703125,1048.481258226869,1000.3767810235762,1013.9246204982061,174061
2019-04-08,1000.1314697265625,1043.6218971556973,995.4682800517637,1038.6641423025305,190542
2019-04-09,988.4489135742188,999.9350978472182,981.7241272702914,997.4317133066161,197374
2019-04-10,997.0882568359375,1011.4705410425947,982.6568984007996,987.6145938711846,107761
2019-04-11,1004.8928833007812,1012.1576664654025,992.2777510959316,999.3952516603101,34899
2019-04-12,1002.7822875976562,1012.1086084291775,996.4992281763268,1011.1268841395757,160156
2019-04-15,1005.7765502929688,1011.617761970919,976.5211779931301,1002.7823031471925,108964
2019-04-16,1007.34716796875,1011.1759162798211,998.9534381233748,1009.8996268963378,174188
2019-04-18,1007.5927124023438,1013.1394786710862,993.0632047309225,1007.3472813270843,47841
2019-04-22,991.4923095703125,1007.4944011070029,988.5962113663843,1007.2489700714104,41359
2019-04-23,987.0746459960938,998.3644747206846,982.7059611578571,987.7127307982771,155071
2019-04-24,995.2720947265625,997.3828259635551,983.6877598381564,997.3828259635551,22044
2019-04-25,1024.036376953125,1055.3042653324223,998.5115505472713,1001.3585743834899,145347
2019-04-26,1022.9076538085938,1034.2957523100235,1006.2674737635805,1032.234035272744,29333
2019-04-30,1025.0673828125,1031.7921698469559,1006.3654882206241,1023.0548001972161,43672
2019-05-02,1020.2571411132812,1031.7924034737152,1009.8999001645313,1030.6633963811948,53376
2019-05-03,1039.49853515625,1068.9993921789119,1016.0844394328449,1023.0056422458879,126846
2019-05-06,1032.724609375,1057.3659799254226,1020.9930544257583,1035.7189157876683,87383
2019-05-07,1011.8140258789062,1045.5362266872833,1002.3894380245606,1040.6276059047138,55724
2019-05-08,1009.998046875,1020.5024493558917,1001.4078989977605,1011.176068144847,22203
2019-05-09,999.5426025390625,1010.8814461022038,984.4730988456871,1001.6041995651436,28001
2019-05-10,1013.6302490234375,1019.0297321901484,1003.1257879697166,1003.1257879697166,65684
2019-05-13,981.5278930664062,1011.0778289402218,973.134162713697,1007.2490803977333,95615
2019-05-14,1004.3528442382812,1016.0844594008072,967.9799777480154,974.1157534690348,39332
2019-05-15,1035.1790771484375,1040.6276946173293,1012.648553771486,1017.0663128524087,147232
2019-05-16,1065.9561767578125,1094.5733411139415,1041.854799882494,1050.444886571749,135915
2019-05-17,1050.44482421875,1092.0699515014608,1032.2829277252483,1070.0793069144277,171738
2019-05-20,1085.39404296875,1123.7304135472884,1070.0791723597297,1078.9146884617826,200012
2019-05-21,1098.451171875,1108.3665617902802,1087.1122100431676,1087.1122100431676,181351
2019-05-22,1106.746826171875,1119.1656620919127,1091.186520539615,1103.4580738520262,321642
2019-05-23,1103.7034912109375,1127.9030180103466,1093.444520704927,1119.1656481925452,153972
2019-05-24,1116.5640869140625,1124.0743016308277,1086.866927416829,1104.439816012822,66982
2019-05-27,1103.408935546875,1132.9097975345478,1097.567724127924,1119.1656578764164,41983
2019-05-28,1064.4837646484375,1113.1281344704398,1046.5181610400393,1107.5813679041771,104679
2019-05-29,1031.3011474609375,1082.007220230674,1016.428003660572,1078.8656312667263,177682
2019-05-30,1062.4219970703125,1069.0977702934854,1019.0298306378676,1030.7613881704365,58086
2019-05-31,1116.613037109375,1128.491874983432,1062.4217938276884,1071.404593485948,199145
2019-06-03,1118.0367431640625,1127.0195448632123,1074.9881547257992,1127.0195448632123,146349
2019-06-04,1123.8287353515625,1127.9029145950078,1098.5493381597714,1118.969248681512,223984
2019-06-06,1093.5426025390625,1122.9943283287523,1087.7504058325476,1115.3859658330825,132732
2019-06-07,1079.160400390625,1114.257042932326,1072.5828957381455,1099.531178928815,51302
2019-06-10,1055.402587890625,1094.57328532567,1040.8730226381629,1084.805178038359,78432
2019-06-11,1068.8524169921875,1076.951643114057,1038.0753816969634,1054.9119787545485,138445
2019-06-12,1075.576904296875,1084.8051348416825,1046.321597903408,1062.2254804513125,81722
2019-06-13,1122.159912109375,1125.9395263699826,1071.0611187729512,1081.4673714860953,128472
2019-06-14,1148.666259765625,1158.4343660179134,1110.2807539693058,1119.3617013300395,672168
2019-06-17,1148.4700927734375,1158.4346179037923,1124.1234032160405,1138.8001328545754,679904
2019-06-18,1177.2835693359375,1185.9227899134412,1149.353564810564,1155.2439097935778,189816
2019-06-19,1170.7060546875,1207.4715763517895,1157.4527785966982,1180.1305826064176,154291
2019-06-20,1154.6549072265625,1168.2517630215855,1133.9405511946434,1168.2517630215855,107663
2019-06-21,1175.074951171875,1189.5553858072713,1154.6551559286522,1165.3068415061311,112773
2019-06-24,1152.642333984375,1177.9708657248852,1144.9849572958647,1176.1055658178996,57398
2019-06-25,1153.9677734375,1158.3365184494007,1134.5297043200871,1157.3547941554084,47267
2019-06-26,1128.737548828125,1173.209708929062,1117.2022879464287,1159.4164341517858,60682
2019-06-27,1146.3104248046875,1172.1788366369628,1119.1657234222257,1124.12347916788,148686
2019-06-28,1151.7098388671875,1191.0278235519859,1141.9416105826592,1146.3103554405616,129525
2019-07-01,1172.277099609375,1176.793007949052,1160.1036928993801,1171.884385875619,47804
2019-07-02,1188.720947265625,1196.4765938727628,1175.2222369757783,1178.0692616593356,57744
2019-07-03,1172.6204833984375,1197.7035859414075,1164.3249614151716,1192.7949646875493,42421
2019-07-04,1176.056640625,1185.9230183074396,1163.4906408114741,1174.1423260725976,21383
2019-07-05,1156.6673583984375,1187.6408036095597,1145.7702441806823,1181.6523101961425,58693
2019-07-08,1104.48876953125,1164.0302415587514,1093.247956449664,1156.667310656155,384569
2019-07-09,1138.0638427734375,1148.1265163886437,1097.5677172488274,1116.9076371393714,109511
2019-07-10,1096.8804931640625,1148.0773141623847,1086.9649829035802,1145.5739893638445,145865
2019-07-11,1117.9384765625,1128.0011500068606,1082.6945524333992,1096.5859743756862,105663
2019-07-12,1128.541259765625,1134.922467957434,1109.3485010375791,1117.8894548354726,69400
2019-07-15,1120.7364501953125,1132.9098556274726,1115.1896838666928,1128.5412303764515,59604
2019-07-16,1126.7740478515625,1132.8116761708125,1119.1656846445492,1131.928100346636,46364
2019-07-17,1121.865234375,1132.8604965464497,1109.3482518868957,1132.8604965464497,60034
2019-07-18,1104.047119140625,1128.6883749984834,1094.6717240189298,1121.8654390781096,97705
2019-07-19,1061.6365966796875,1110.133797170556,1038.6642259377622,1104.4397487523463,175911
2019-07-22,1066.0543212890625,1076.5097078745555,1021.0422911707642,1076.5097078745555,194910
2019-07-23,1089.81201171875,1099.4329568256837,1034.3445943542833,1077.4423107522493,68033
2019-07-24,1056.1390380859375,1099.5312037257881,1042.6403291116253,1099.5312037257881,113723
2019-07-25,1074.8406982421875,1098.9420748807354,1067.2814699656562,1079.8966017546416,327734
2019-07-26,1074.20263671875,1087.701345285739,1063.20737294903,1080.878409618543,207757
2019-07-29,1076.4608154296875,1084.3146107087002,1061.7840834377946,1079.6022856055304,392302
2019-07-30,1079.4056396484375,1087.0631355052917,1062.078185448827,1068.802971514234,111063
2019-07-31,1079.55322265625,1081.8602509476502,1045.536449418555,1070.0795585598357,349840
2019-08-01,1096.5599365234375,1108.9957342514585,1068.8867494882202,1081.0275796799774,139428
2019-08-02,1068.1602783203125,1104.484249599427,1054.5757847823181,1102.5154719709074,299808
2019-08-05,1063.6319580078125,1091.4409379372162,1029.2276220548104,1063.1397636727788,171874
2019-08-06,1072.3441162109375,1087.749827850992,1057.3321841976094,1063.1401032389786,281091
2019-08-07,1067.32373046875,1081.8434676367592,1024.9457376515065,1079.1856655091603,164427
2019-08-08,1090.4075927734375,1095.6249022787267,1048.571062362974,1067.077622704528,142914
2019-08-09,1107.24072265625,1112.3594970547065,1088.7834301166254,1090.4075757283804,188076
2019-08-13,1099.218017578125,1112.0642221244325,1096.6093626555696,1107.437641820032,153255
2019-08-14,1110.046142578125,1124.8119757516965,1093.4099465029694,1093.4099465029694,51686
2019-08-16,1110.5384521484375,1125.698066477856,1086.7654342414712,1112.359547729042,227060
2019-08-19,1110.2430419921875,1114.1314504041484,1103.9429287429928,1112.3595022462084,264101
2019-08-20,1102.6138916015625,1115.0171666820995,1094.788048560116,1106.4530320267563,108184
2019-08-21,1097.0028076171875,1112.359247532496,1084.156486825404,1110.3904701032352,55179
2019-08-22,1127.1746826171875,1170.4385314890328,1076.0848690264052,1101.039106367101,185234
2019-08-23,1127.02685546875,1134.2128222113222,1114.574312073723,1132.0472147359517,189632
2019-08-26,1135.246337890625,1146.8129058249106,1120.234409295063,1145.9269319076536,65107
2019-08-27,1103.54931640625,1148.8312095810927,1083.8122692500426,1135.2465935627717,85037
2019-08-28,1096.412353515625,1122.1048785689202,1091.6872389511466,1110.1445299613667,87242
2019-08-29,1084.5345458984375,1107.6495489845815,1075.761645251866,1104.4953044119056,68701
2019-08-30,1125.0968017578125,1134.3132266774214,1077.0923375225116,1084.583878948125,108644
2019-09-03,1138.1573486328125,1148.35948826147,1125.6880133859215,1126.3779666644987,91765
