Price,Close,High,Low,Open,Volume
Ticker,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS,WHIRLPOOL.NS
Date,,,,,
2019-01-01,1376.5316162109375,1391.3788951193862,1357.7153409174919,1391.3788951193862,29846
2019-01-02,1368.9365234375,1380.7947034867523,1363.203448747465,1379.863735324537,80048
2019-01-03,1362.909423828125,1378.1977828234826,1357.8624326132501,1367.1235442541984,48851
2019-01-04,1362.9583740234375,1372.0235294861136,1342.0350391249658,1355.559199279897,58970
2019-01-07,1400.052001953125,1420.4363996153152,1369.2305208863538,1369.8185070508296,69973
2019-01-08,1392.603759765625,1408.7740356531217,1377.9035089588099,1398.483860088351,73197
2019-01-09,1431.6575927734375,1442.5357558927087,1394.5149301965168,1409.2642316555896,84118
2019-01-10,1439.2037353515625,1476.934382567332,1416.1242916048577,1425.7774332650383,68181
2019-01-11,1452.0908203125,1455.32492355055,1430.8245039621568,1442.5847053645855,39902
2019-01-14,1436.0677490234375,1453.3650713374304,1425.92459797435,1452.385054431606,22082
2019-01-15,1430.9227294921875,1449.4450738345238,1423.13164256636,1449.4450738345238,86559
2019-01-16,1430.4324951171875,1437.1455862604996,1426.5124279233169,1436.7046265535719,7593
2019-01-17,1433.51953125,1445.5247366903093,1425.9244012775594,1425.9244012775594,67409
2019-01-18,1431.41259765625,1456.2070719950354,1428.8645777538009,1450.42494861154,47834
2019-01-21,1446.946044921875,1465.027430264543,1439.15495766129,1440.6249831543046,36306
2019-01-22,1437.8316650390625,1450.4248569314993,1422.592356020947,1440.6246889792596,18839
2019-01-23,1431.41259765625,1449.934940182955,1429.45256394191,1436.8517390659288,14516
2019-01-24,1450.9150390625,1469.0453519450775,1430.8246923547788,1437.2927800515583,51870
2019-01-25,1429.3056640625,1467.4283471086435,1422.1025634506068,1460.2252464967505,26937
2019-01-28,1434.74462890625,1445.5248139595074,1402.0120430910765,1440.6247298443902,33199
2019-01-29,1440.9189453125,1457.0401760176967,1417.1535346728974,1445.2799728145944,102160
2019-01-30,1459.0491943359375,1465.2232289671138,1431.8537256262932,1454.3450654094497,37271
2019-01-31,1479.5313720703125,1485.4605217909707,1437.6847009515777,1444.593867509967,31549
2019-02-01,1508.9808349609375,1518.0459901636577,1464.145067336672,1464.145067336672,50676
2019-02-04,1488.4005126953125,1533.7262896251286,1460.372056184904,1523.9261216403036,112329
2019-02-05,1428.7666015625,1469.0452705102027,1285.3411582844446,1327.9228429228317,345139
2019-02-06,1400.5421142578125,1460.225166814197,1382.8038324663303,1440.6248290046105,91151
2019-02-07,1404.5601806640625,1425.9245970495642,1395.5440729887143,1411.2243434717336,38716
2019-02-08,1401.7181396484375,1415.095273862577,1393.0939435699424,1396.769006734478,30769
2019-02-11,1380.7457275390625,1451.0619346752846,1371.631523221635,1391.3298374618273,107714
2019-02-12,1364.7713623046875,1401.3749656050677,1362.2233425685204,1386.7237623988894,31219
2019-02-14,1331.8919677734375,1381.8237791756615,1325.9628178898367,1367.1235262057075,49342
2019-02-15,1288.18310546875,1338.7030221283967,1283.8220783222544,1338.7030221283967,61496
2019-02-18,1265.0548095703125,1311.262630993784,1263.2418022055213,1311.262630993784,63651
2019-02-19,1286.3701171875,1308.3225189599118,1265.0547503055689,1274.021928575195,47952
2019-02-20,1324.5419921875,1331.8430708086364,1290.1433006141497,1290.1433006141497,59802
2019-02-21,1346.10205078125,1385.3516497225671,1324.9826420296545,1324.9826420296545,66754
2019-02-22,1322.9248046875,1362.2234574844183,1320.5727402591754,1332.8229512077762,57355
2019-02-25,1316.015625,1334.7339232203537,1308.322516525649,1332.7249604229946,62961
2019-02-26,1312.879638671875,1323.0227894649126,1301.46241808104,1308.3225362486357,47138
2019-02-27,1307.6363525390625,1342.6229014620076,1297.640110253259,1306.6072871344684,54024
2019-02-28,1346.10205078125,1370.0143637048354,1303.4222735942608,1317.436560929647,86732
2019-03-01,1407.84326171875,1420.0444237181873,1339.6830415616025,1340.6630584171708,34808
2019-03-05,1516.576171875,1533.9224233713596,1393.241067380859,1401.4241846728594,87837
2019-03-06,1530.1982421875,1565.9688550775588,1521.9660772126376,1528.826194753197,73431
2019-03-07,1536.96044921875,1553.326682500599,1524.024155226288,1543.4285363995002,101022
2019-03-08,1518.585205078125,1543.5265868352346,1511.1369810813212,1533.7264180299314,41636
2019-03-11,1544.506591796875,1602.2296095408574,1518.0461362267508,1518.5851933592694,147935
2019-03-12,1549.210693359375,1600.6615782841707,1529.8063117639235,1558.226800579525,133153
2019-03-13,1562.293701171875,1577.8269424869386,1548.4264404530204,1564.5967165716754,41115
2019-03-14,1569.007080078125,1580.6693052865987,1546.3196645817818,1569.9870969926021,29046
2019-03-15,1558.0306396484375,1583.6579813417586,1547.446411149815,1580.6690021044903,47154
2019-03-18,1546.2705078125,1571.9468993383384,1540.5863626931844,1569.2518532203953,41011
2019-03-19,1535.4906005859375,1553.2778124712224,1531.27647986097,1553.2778124712224,53299
2019-03-20,1526.572265625,1543.86958770416,1520.8882394269688,1543.86958770416,26058
2019-03-22,1497.9066162109375,1538.8223172313462,1491.8305599596904,1526.866160234651,32367
2019-03-25,1475.17041015625,1489.5766104548659,1467.1832486497387,1475.4154143765052,22481
2019-03-26,1494.133544921875,1502.1697542214715,1470.0251562849917,1472.9652065975617,25362
2019-03-27,1488.1065673828125,1513.0969975507453,1471.9853377347088,1495.5057425986454,103760
2019-03-28,1470.809326171875,1511.9700335875325,1446.5048606073876,1481.7854669636654,47866
2019-04-01,1475.6112060546875,1518.8300414136322,1471.9851918499153,1499.3766127806266,34111
2019-04-02,1473.651123046875,1494.4764787571955,1470.0251089638107,1481.7853098355213,26158
2019-04-03,1460.274169921875,1487.8126197584102,1455.3740856224574,1476.8854078445156,14123
2019-04-04,1457.284912109375,1464.9780196963377,1438.3705409189238,1460.2249623691787,17351
2019-04-05,1429.8935546875,1478.8453458169301,1421.2203103343054,1455.4719691482019,45517
2019-04-08,1434.7935791015625,1446.5537801705084,1423.229333531385,1438.5666196849922,41026
2019-04-09,1414.6544189453125,1430.7267203018519,1406.8142836134368,1427.1496346304893,21179
2019-04-10,1418.6722412109375,1445.034716043586,1397.7489072615563,1416.1242215550913,25018
2019-04-11,1405.09912109375,1430.775514024387,1399.0719937013146,1423.964444951504,17494
2019-04-12,1372.0235595703125,1413.5272483211224,1367.12347542899,1413.2822441140563,350079
2019-04-15,1390.4478759765625,1400.8849591338799,1369.1814397559992,1381.5296274412856,42916
2019-04-16,1402.55126953125,1410.2443785946089,1392.163113879194,1399.023232468605,25272
2019-04-18,1401.0321044921875,1429.7955759276892,1396.475002084499,1410.2442870691452,40436
2019-04-22,1399.90478515625,1419.0641591910758,1395.1027991068356,1419.0641591910758,25266
2019-04-23,1369.37744140625,1409.3131236415038,1357.3231876276461,1401.42394101627,26232
2019-04-24,1370.25927734375,1380.3044483373562,1357.91109107292,1374.9634052711817,30890
2019-04-25,1377.1197509765625,1400.2482463770168,1364.7226324376848,1370.2596324227604,24607
2019-04-26,1363.74267578125,1385.646031348576,1360.263567651364,1385.5969826472053,66487
2019-04-30,1364.869384765625,1381.823723695981,1347.5231348099105,1364.2324695339375,35885
2019-05-02,1367.3193359375,1371.7784600486566,1355.3631793158006,1367.1233804378467,19120
2019-05-03,1365.555419921875,1371.9744581216075,1352.8641307052765,1367.3193783663476,28929
2019-05-06,1339.1929931640625,1366.8294198138567,1329.0007942441594,1365.555469718219,29159
2019-05-07,1340.4180908203125,1360.2143839911903,1328.0208533325201,1342.1331203644072,11133
2019-05-08,1308.1754150390625,1352.3252201865612,1305.3823910564622,1352.3252201865612,19666
2019-05-09,1308.6165771484375,1326.8448670430387,1298.5223555135683,1308.3225242344256,9258
2019-05-10,1342.525146484375,1352.766275017661,1309.3025503596837,1309.3025503596837,99470
2019-05-13,1323.2188720703125,1369.3777673072825,1313.320724546931,1347.0333324202018,28213
2019-05-14,1349.091064453125,1352.4231454042247,1318.122558383103,1323.2676464362712,79311
2019-05-15,1334.0478515625,1361.2433174070247,1327.922746642562,1351.933157928719,86703
2019-05-16,1340.0750732421875,1349.2872556176785,1323.02275601623,1347.4251996644998,11594
2019-05-17,1386.1358642578125,1396.5240189992635,1332.8229233957882,1334.7829571066643,25432
