Price,Close,High,Low,Open,Volume
Ticker,PGHH.NS,PGHH.NS,PGHH.NS,PGHH.NS,PGHH.NS
Date,,,,,
2019-01-01,9177.3720703125,9210.0367039592,9083.130946293188,9092.39750902984,3305
2019-01-02,9169.263671875,9186.499116296754,9118.297577690753,9173.943104989821,2809
2019-01-03,9127.5654296875,9210.964504679569,9098.839081634676,9200.725132570897,2314
2019-01-04,9067.2861328125,9154.43798058023,8999.083683242785,9084.012098757768,1743
2019-01-07,9085.1240234375,9136.83126482083,9038.651847270616,9136.83126482083,2124
2019-01-08,9246.59375,9498.227087611556,9052.459254892232,9084.938377262799,8842
2019-01-09,9250.30078125,9289.683675781018,9192.430911710386,9210.732374463034,3008
2019-01-10,9262.533203125,9369.42265454134,9211.010565454286,9312.711103119791,3926
2019-01-11,9265.171875,9285.512159268654,9197.294309380783,9285.00267935393,886
2019-01-14,9265.9130859375,9275.828488186135,9173.850155175183,9265.171941970937,2723
2019-01-15,9210.7314453125,9275.82904676457,9150.82275687653,9192.801008880515,2742
2019-01-16,9170.9765625,9257.943785200281,9137.84860511457,9173.942043169582,2395
2019-01-17,9263.736328125,9302.70204223417,9145.819320965493,9240.338257942072,1549
2019-01-18,9231.3515625,9312.897330167136,9203.505717142163,9262.348401765606,1619
2019-01-21,9269.482421875,9322.162471080888,9221.342445621769,9299.644903753611,1291
2019-01-22,9255.3974609375,9312.896306398892,9182.145457544886,9257.11141320782,813
2019-01-23,9187.6591796875,9296.171191036432,9178.531975790733,9230.470887911988,838
2019-01-24,9193.6357421875,9224.123098999258,9136.83188720291,9220.230961224031,1063
2019-01-25,9200.6318359375,9266.563799344987,9173.898161351539,9236.910795187085,808
2019-01-28,9182.05078125,9251.735508535805,9132.196858635854,9243.395602728831,3557
2019-01-29,9167.0390625,9232.831654855672,9127.563869061687,9210.96292979423,1645
2019-01-30,9192.0595703125,9215.597002560628,9049.771674905573,9201.697157911214,1369
2019-01-31,9182.005859375,9266.563249022329,9147.070734938621,9191.504086705247,7382
2019-02-01,9172.6005859375,9264.432777207883,9136.832011235807,9256.324533790204,4569
2019-02-04,9152.6767578125,9201.697239016625,9104.490629269814,9128.491389884468,2467
2019-02-05,9209.572265625,9256.368401803906,9099.80966225348,9155.362880150426,2380
2019-02-06,9246.0830078125,9257.295185551664,9184.089347748002,9257.295185551664,2154
2019-02-07,9269.0185546875,9479.832852782713,9164.630365545694,9266.562553635687,5845
2019-02-08,9270.6865234375,9303.628972926794,9202.623439256573,9275.829284760677,1207
2019-02-11,9376.6484375,9451.89310081955,9243.395458889707,9271.195144480353,3450
2019-02-12,9430.720703125,9456.573871419207,9283.242988227496,9415.291513464312,4533
2019-02-14,9318.4091796875,9405.514867949454,9285.930058828439,9359.274358694869,1148
2019-02-15,9333.666015625,9443.122872239668,9276.72889815295,9303.569332255829,1994
2019-02-18,9137.59375,9327.293901614725,9070.980553662517,9276.589446212201,6469
2019-02-19,9226.490234375,9294.266378025284,9150.712475438408,9163.97006261427,2469
2019-02-20,9292.962890625,9350.087169689352,9150.06042924326,9220.953809195422,1659
2019-02-21,9407.81640625,9536.159337285084,9225.97794722527,9247.795000785314,2569
2019-02-22,9466.2421875,9489.64102855482,9354.041501112482,9488.478082350342,4507
2019-02-25,9384.37109375,9554.76634084408,9333.946471450823,9531.321162854345,6587
2019-02-26,9346.55078125,9443.12163657182,9188.203870224954,9382.6484438253,1139
2019-02-27,9648.9189453125,9767.818391223667,9311.61818810123,9389.720933394603,3348
2019-02-28,10013.0595703125,10232.717396245054,9359.391126062095,9553.370554470042,11289
2019-03-01,10188.1982421875,10233.925646108723,9792.23871879144,9913.882880448597,2458
2019-03-05,10246.1611328125,10419.067610667149,10067.392679259685,10188.19916727619,4867
2019-03-06,9925.513671875,10461.864483313902,9866.993853051856,10461.864483313902,3293
2019-03-07,9718.5078125,9945.561223709512,9658.034616270581,9909.230969838933,3433
2019-03-08,9601.5634765625,9815.173995816363,9464.289478473998,9815.173995816363,2971
2019-03-11,9478.103515625,9626.402767726006,9443.122459883924,9601.236795491523,5824
2019-03-12,9774.517578125,9871.088459762737,9534.764380761397,9558.488485919168,2527
2019-03-13,9671.4326171875,9930.164511281939,9508.852746634588,9862.062203537424,3367
2019-03-14,9577.9306640625,9765.490233094775,9536.203616101633,9765.490233094775,8804
2019-03-15,9553.6494140625,9843.130346948436,9494.804336065788,9536.158884842596,7428
2019-03-18,9642.8701171875,9722.229377187612,9495.547560393583,9675.571616325238,1930
