Price,Close,High,Low,Open,Volume
Ticker,UBL.NS,UBL.NS,UBL.NS,UBL.NS,UBL.NS
Date,,,,,
2019-01-01,1334.3414306640625,1349.6168818793053,1322.8849617825938,1343.9375351936417,304025
2019-01-02,1327.2421875,1343.3499243999274,1317.5971960842724,1326.850607374857,272136
2019-01-03,1340.020751953125,1353.2398094258083,1323.8641261531786,1323.8641261531786,653334
2019-01-04,1342.61572265625,1349.2252518591558,1324.060009694555,1349.2252518591558,550072
2019-01-07,1360.87744140625,1365.3816886259851,1344.6228021546685,1344.6228021546685,453214
2019-01-08,1381.489501953125,1387.8053460365543,1356.2264842093177,1361.5630192487542,853257
2019-01-09,1356.47119140625,1380.6571229826852,1348.4417662070969,1377.2299599114517,619475
2019-01-10,1349.763671875,1356.862795504969,1338.8458049508122,1352.2606528258023,620011
2019-01-11,1348.34375,1354.6105858159394,1341.6852145336984,1342.5665088645253,259158
2019-01-14,1351.33056640625,1360.290055032942,1340.60836927353,1341.6365660978909,379743
2019-01-15,1389.6656494140625,1395.3449961577783,1347.8052995293292,1351.477260045534,478190
2019-01-16,1387.1688232421875,1400.2409791061712,1382.6645754671404,1395.345031626779,371896
2019-01-17,1381.19580078125,1395.7856287468267,1372.823682721567,1386.7281258472728,240642
2019-01-18,1385.3572998046875,1390.4490371993475,1359.89837377146,1382.7624238222313,163769
2019-01-21,1454.830810546875,1460.3632551694025,1380.7551004097716,1380.7551004097716,1816942
2019-01-22,1429.0291748046875,1448.1233699825173,1416.887201144587,1448.1233699825173,962109
2019-01-23,1414.830810546875,1433.533304479378,1412.0401446183268,1433.533304479378,415921
2019-01-24,1418.16015625,1436.4219442291278,1410.6203256181411,1412.2850194339894,672662
2019-01-25,1398.0867919921875,1434.463585670844,1389.4698767276266,1426.5811820486847,423833
2019-01-28,1375.1246337890625,1409.8858580908209,1349.6168211954653,1408.2701716468603,318205
2019-01-29,1407.1441650390625,1422.762188045613,1358.282590421801,1358.282590421801,453380
2019-01-30,1398.7230224609375,1415.9568511779758,1383.1049996573195,1400.338708844404,215269
2019-01-31,1399.06591796875,1420.2652736947912,1367.438051283541,1399.3596030824133,494458
2019-02-01,1417.0340576171875,1439.3106179370782,1388.5885558582647,1400.2409343931233,288391
2019-02-04,1408.90673828125,1421.9788937373864,1393.4356164470455,1414.9287773990102,383584
2019-02-05,1389.95947265625,1420.2653393766418,1378.0622965186446,1412.9704255322076,594362
2019-02-06,1372.774658203125,1397.7929974938993,1364.990149566722,1396.6180179174498,713513
2019-02-07,1360.2899169921875,1380.5102027562318,1356.862753965399,1374.781968460306,580784
2019-02-08,1351.7711181640625,1371.8445031132571,1336.5446734759782,1355.6878762029296,485676
2019-02-11,1346.5811767578125,1367.9765601630793,1327.8786836558893,1348.3437654396494,829992
2019-02-12,1360.3388671875,1364.010827419246,1349.322986492262,1354.2189334679233,318592
2019-02-14,1374.4881591796875,1383.5946687178398,1359.1149328948065,1370.9631011271626,1072882
2019-02-15,1309.91064453125,1375.1246358940164,1284.3538246157013,1374.7819435035508,1539798
2019-02-18,1316.1773681640625,1327.8297451531685,1297.6216585532316,1302.321815171846,341080
2019-02-19,1318.2828369140625,1326.899632568956,1303.3011901469686,1309.176326992109,567112
2019-02-20,1331.69775390625,1335.6145120059741,1317.5485130829845,1321.9058586569392,394949
2019-02-21,1331.012451171875,1349.3232486058407,1324.6966066284106,1334.5375097731223,350999
2019-02-22,1338.3563232421875,1343.3011587461247,1322.9340878470853,1331.6977864977093,278676
2019-02-25,1329.1026611328125,1341.489430510303,1315.6878146396903,1336.6913787141664,336125
2019-02-26,1305.8470458984375,1325.4798424728547,1295.4676614811497,1321.1223776380275,386196
2019-02-27,1307.9031982421875,1331.2079531411562,1300.6572925029686,1311.1345709863979,351905
2019-02-28,1315.73681640625,1327.780894455553,1308.2461127362778,1320.9265683042336,328201
