Price,Close,High,Low,Open,Volume
Ticker,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS,ANGELONE.NS
Date,,,,,
2020-10-05,249.4065399169922,268.30647829264166,232.4056693098269,248.68310918366691,8546115
2020-10-06,240.7704620361328,247.91444393487149,236.52023063458398,247.77880412356956,2721384
2020-10-07,240.13742065429688,244.1615761895995,237.37931018433284,237.74102551852488,820087
2020-10-08,244.9302520751953,247.19100753537413,239.23313175727716,241.49388721745598,738189
2020-10-09,248.5474395751953,249.58738147860078,244.16156883776162,244.9302311479692,556877
2020-10-12,243.66421508789062,250.40124926321283,239.64005965113125,248.68308077004187,440901
2020-10-13,243.98068237304688,245.97015792451504,237.8314394637774,240.86085685469587,369077
2020-10-14,236.74627685546875,243.25726296245264,235.66113090237795,241.58429857135584,231803
2020-10-15,232.6317138671875,240.6799969907897,230.5970341540634,237.83145091183795,215948
2020-10-16,221.6444549560547,235.57070207361397,219.74541498613513,232.49608038746877,229542
2020-10-19,213.27969360351562,224.53825398413468,211.8780223403895,223.36265828607543,309411
2020-10-20,203.15142822265625,214.18392308813253,202.38277984173553,213.27962113512973,297310
2020-10-21,216.08299255371094,220.4688634310327,200.93593178158363,200.93593178158363,1258703
2020-10-22,216.08299255371094,221.19230789926334,210.74761547280175,215.67605935237984,392632
2020-10-23,217.07772827148438,219.70019891946126,213.05358656742794,218.34374572942727,383393
2020-10-26,224.9451446533203,227.16068201180286,217.21335903215854,217.93680346311638,320284
2020-10-27,269.9341735839844,269.9341735839844,241.4486577786393,241.4486577786393,4709948
2020-10-28,285.6238708496094,303.7551199021685,252.16468763853797,276.6260524337322,7045991
2020-10-29,294.5764465332031,298.3745268750092,268.53255378031787,271.290664497194,1977190
2020-10-30,319.5351867675781,342.7305325967198,295.70681836181365,296.5659164876427,4462984
2020-11-02,289.06402587890625,323.92740467942,287.5999416286717,323.60713188638675,933339
2020-11-03,273.5081787109375,300.95965254458963,271.312066389262,285.95285243387644,848752
2020-11-04,283.3907165527344,295.37783738513673,265.95901449726375,273.64542132818104,768906
2020-11-05,284.7633361816406,292.81575836668986,278.9069986742374,288.42353316122427,288705
2020-11-06,285.08355712890625,290.48236956033554,282.7959342088377,285.4038299227327,359419
2020-11-09,306.08392333984375,313.5873371149192,282.8874231160678,285.5410599157615,2120253
2020-11-10,299.9989013671875,316.5155291139384,295.56090693195347,311.0252336291343,721991
2020-11-11,303.842041015625,310.0186224107558,295.8811306391724,299.8615997899398,505739
2020-11-12,309.3323669433594,314.31939618976674,298.8550704920849,304.71137971235026,517305
2020-11-13,322.28033447265625,333.169414200817,306.7702396002388,306.7702396002388,915610
2020-11-14,321.914306640625,324.8424753348042,317.1560674189416,321.1822784296233,149447
2020-11-17,319.8097229003906,326.21506785118527,315.6920011463083,318.4828902762623,632194
2020-11-18,321.3652648925781,324.79669912224654,319.0318728613537,320.67897804664443,204970
2020-11-19,328.3653259277344,337.97334003836147,317.38473837273193,317.38473837273193,547130
2020-11-20,329.23468017578125,333.0778978595794,323.60713336564316,327.13007825494407,259500
2020-11-23,326.031982421875,332.9863611511477,325.5287165880473,329.4176752542432,178666
2020-11-24,324.7052001953125,329.4176977869704,323.4698782435945,326.032004723015,140872
2020-11-25,322.5548095703125,332.8491120034076,321.8685227414395,324.7051805524644,273223
2020-11-26,322.0057678222656,327.9535868820762,321.63975377283214,325.71173337611987,134142
2020-11-27,327.404541015625,329.6921636552677,321.6397431337579,322.37177120841113,249363
2020-12-01,320.7705078125,326.58107621463085,320.4960042037737,323.10390018702316,153972
2020-12-02,320.4959411621094,323.8816339375663,319.1233675382888,321.59401123119864,119345
2020-12-03,319.26068115234375,323.1038992134561,317.97961777366874,321.7770666167397,119037
2020-12-04,318.29986572265625,322.0973142689349,317.6593201208374,319.44367720798624,126982
2020-12-07,348.4964294433594,373.34000507865056,320.3129025010013,322.0972592835417,1132733
2020-12-08,330.8359680175781,352.65989312582616,329.4176531808594,351.7448440892127,378460
2020-12-09,328.1365966796875,345.88854276013876,326.90127487052797,334.7249331200701,478312
2020-12-10,330.0582580566406,337.4243929565737,323.6986549380012,329.69221603607696,291865
2020-12-11,324.7966613769531,336.00601189120806,324.1103746107743,332.16279483057434,217875
2020-12-14,325.80316162109375,332.986301334491,324.3848469441194,332.0255111242925,164219
2020-12-15,328.0450744628906,333.8556413389509,323.1038153279635,323.1953258152007,184641
2020-12-16,329.8294372558594,332.84908791432827,326.67250690148506,328.50260497936455,213563
2020-12-17,327.267333984375,332.16285268751375,326.6725576017697,326.6725576017697,75165
2020-12-18,318.4371337890625,331.1563125709072,313.90762890564895,327.7706471563627,424373
2020-12-21,306.1296691894531,320.22144785155217,289.79606488352675,318.4370909134695,498025
2020-12-22,298.2144470214844,311.84867078239347,288.2861603355774,306.12961484870027,348717
2020-12-23,309.4238586425781,312.0317542558327,298.30601726510696,298.30601726510696,137526
2020-12-24,309.0121154785156,314.7769140720099,306.5414715526841,309.74414364353305,231309
2020-12-28,308.23431396484375,313.7246089040718,306.0839428619626,309.652628987444,146899
2020-12-29,308.23431396484375,312.80955974753374,306.5414674402316,309.28661490984564,223265
2020-12-30,304.1165771484375,314.77689368983545,301.50868160116505,313.8161032948269,351295
2020-12-31,309.3323669433594,310.6591994364652,303.29306464048,305.62642890067565,164791
2021-01-01,308.05126953125,312.21475963184804,306.26694056677826,309.28659138362707,125610
2021-01-04,315.69189453125,326.39797864625416,308.3257614955522,312.9467476222826,644292
2021-01-05,324.2476806640625,327.31310098455225,310.4761738287531,315.64622400626007,843235
2021-01-06,322.96661376953125,330.3327483734767,319.077654820536,325.2999779688946,344067
2021-01-07,330.5614318847656,338.5681101657115,322.3717326445099,324.9338864494592,372362
2021-01-08,333.0778503417969,343.87541783669104,331.2477522629958,333.9928993811974,404986
2021-01-11,326.5353088378906,338.20218600329383,322.7378602867176,334.4504787415589,215776
2021-01-12,330.149658203125,335.8229730042916,325.7574343038905,325.7574343038905,143789
2021-01-13,319.16912841796875,335.6857821270425,317.5220511382935,332.1628373579266,256008
2021-01-14,325.43719482421875,329.417663847391,319.3521241187207,319.3521241187207,461488
2021-01-15,319.4436950683594,328.27391464379537,318.4371353199743,325.757529235376,95157
2021-01-18,316.60699462890625,323.0123384508783,316.3782323495501,321.91426833993563,98225
2021-01-19,323.79010009765625,324.84240088169366,318.75733050653145,318.75733050653145,90823
2021-01-20,326.5353088378906,328.27389671281605,321.63979008935144,321.63979008935144,83613
2021-01-21,329.097412109375,338.56817613492257,326.30652344910686,328.5026357633438,241273
2021-01-22,334.4504699707031,339.02571579793573,328.136636314139,331.1105461018402,249783
2021-01-25,335.1367492675781,338.3851625614351,321.18224981002027,337.47011341667724,87582
2021-01-27,335.82305908203125,338.56820670395524,325.52875549981644,335.09103088621913,144752
2021-01-28,337.83612060546875,341.2675545447507,330.24119673147624,334.9079524739158,109703
2021-01-29,313.40435791015625,345.79709471935666,308.60034950423415,343.14345756586454,712678
2021-02-01,306.6786804199219,313.22127547621653,293.59349030733256,313.22127547621653,378960
2021-02-02,309.74420166015625,328.502713134405,307.59383012565127,312.9468743508816,500237
2021-02-03,317.65936279296875,325.7575547819767,313.90765503209116,314.31943839216007,169887
2021-02-04,319.26068115234375,329.417733520923,318.4371424035589,320.2672409231196,132227
2021-02-05,310.3846130371094,323.1037877762459,308.5087459464864,314.7768367991596,176012
2021-02-08,315.8749694824219,317.0187808899841,310.56766779628316,312.763780113786,209225
2021-02-09,316.65277099609375,322.875122438993,315.46321818168667,315.8750015001816,143812
2021-02-10,314.73114013671875,318.3455672235608,312.03173419869154,315.69193049427736,63633
2021-02-11,313.2213134765625,317.20178287172445,312.8552994008763,313.86185905282633,33296
