Price,Close,High,Low,Open,Volume
Ticker,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS,CHOLAHLDNG.NS
Date,,,,,
2019-01-01,511.7957763671875,527.7676684287477,507.5795570118995,519.9304927416425,9584
2019-01-02,501.6768493652344,514.2261742996328,500.53597412138765,508.4227389625279,13347
2019-01-03,503.3633117675781,509.6627996281595,498.0062781768099,509.6627996281595,17889
2019-01-04,495.8734130859375,506.14107896438446,488.6314706011132,506.14107896438446,12198
2019-01-07,485.2585144042969,501.77604768419803,481.0423256851886,488.5818692143173,28854
2019-01-08,477.9173278808594,487.4409589439256,471.02260808278214,475.189206133745,263058
2019-01-09,469.7825927734375,485.6057123649071,466.3104375267017,477.2725458276994,30031
2019-01-10,465.3183898925781,480.1494650233607,456.4396111319174,471.915509034736,47164
2019-01-11,457.3324279785156,480.1494471618255,452.37220641692653,480.1494471618255,129977
2019-01-14,465.6160583496094,470.22905888497803,452.81869128301486,455.894004790065,10248
2019-01-15,458.8701171875,468.2449487155567,451.57861519322483,467.8977271265931,80609
2019-01-16,454.85235595703125,466.16165602619526,451.8762227664727,466.16165602619526,52891
2019-01-17,457.3324279785156,466.26082678937604,452.4217965226265,457.7788600289746,15532
2019-01-18,465.7648010253906,470.7250225485577,453.3642472174729,460.95338009296063,24761
2019-01-21,462.3918762207031,466.8064554002559,453.76107829134463,464.27675442516335,11349
2019-01-22,469.5841979980469,477.1237410948715,447.9080229477227,455.9931783258187,24052
2019-01-23,461.5486755371094,475.68530880181396,456.8860545609384,475.68530880181396,209534
2019-01-24,462.6399230957031,468.19537792396113,452.3722572543786,464.32638045129306,23773
2019-01-25,451.2809753417969,469.53458559306034,446.469554119166,466.9552944652752,15173
2019-01-28,455.9931640625,465.26878447751074,438.4835879297649,451.0329424795841,11860
2019-01-29,447.2632141113281,452.91784890402494,444.4358815775838,448.60248007729035,77332
2019-01-30,441.1125183105469,453.2154716039991,432.87856223822183,449.59451574748965,11398
2019-01-31,440.76531982421875,445.4279406671776,435.6562971610571,442.5510179294083,26518
2019-02-01,451.23138427734375,456.290816580371,436.49951944124354,445.6759297931333,15521
2019-02-04,460.95343017578125,471.17150578857826,437.09477416700844,455.9932081136835,35756
2019-02-05,454.1082763671875,457.3324203282871,444.68385555781936,456.34037603256417,7813
