Price,Close,High,Low,Open,Volume
Ticker,GICRE.NS,GICRE.NS,GICRE.NS,GICRE.NS,GICRE.NS
Date,,,,,
2019-01-01,233.1964111328125,235.17418662702778,230.76917113697797,233.73580694349036,35511
2019-01-02,231.39845275878906,236.25296038187744,230.36462675009244,232.83683250058124,168951
2019-01-03,234.76963806152344,235.53377985718265,231.93784428684398,231.93784428684398,120045
2019-01-04,236.43275451660156,237.33173837407912,234.4999447099868,234.76962889330602,44924
2019-01-07,236.97213745117188,237.78121739200904,234.32012424168536,237.78121739200904,29297
2019-01-08,237.60142517089844,238.23072485197875,235.35396550248353,236.9721529246285,30765
2019-01-09,236.34286499023438,239.80395853857826,235.03935477865306,236.29792676855672,37637
2019-01-10,236.11810302734375,239.1297044157827,233.82570518074047,233.87064339937587,59144
2019-01-11,235.66860961914062,238.14081519435246,233.8257037097248,235.08427560650705,30454
2019-01-14,232.0726776123047,235.5337709549017,231.93783552047574,235.5337709549017,25342
2019-01-15,231.62319946289062,233.73581714326326,230.94896152882353,233.69087892158348,48260
2019-01-16,232.16258239746094,233.69086593702175,231.03885256978688,233.69086593702175,35504
2019-01-17,231.9378204345703,233.69084981875494,230.58934473436932,232.20750460068717,37116
2019-01-18,229.0611114501953,233.64592132965825,228.34192155221885,231.93785732469476,46902
2019-01-21,227.03839111328125,228.7015031302506,224.7459793801228,225.6449632976433,42776
2019-01-22,226.7686767578125,228.34189849944252,224.88080518089447,224.88080518089447,26947
2019-01-23,222.67828369140625,226.3641227447104,222.04899777721883,225.64493296389443,38701
2019-01-24,224.7459716796875,230.139875,222.67830599675327,223.35254391179234,27942
2019-01-25,220.52076721191406,228.61162281817536,220.29602122285127,226.90354507085405,39491
2019-01-28,219.5318603515625,221.86922392225566,218.4530824410139,219.12732034978245,27950
2019-01-29,219.1273193359375,221.10508111569362,217.14955755618138,218.63287546164713,27843
2019-01-30,218.4081268310547,222.94799808390556,216.65511104121467,219.12731666512894,32170
2019-01-31,218.8126678466797,222.67830122013058,217.68893801238613,217.68893801238613,45644
2019-02-01,224.25152587890625,227.8924133324321,218.49803454011865,219.12732051195394,73526
2019-02-04,227.26312255859375,228.16210641862187,219.3071099103827,219.8015537768792,46010
2019-02-05,222.40859985351562,229.24088262660385,221.28487003671856,224.74596335941555,36581
