Price,Close,High,Low,Open,Volume
Ticker,ICICIPRULI.NS,ICICIPRULI.NS,ICICIPRULI.NS,ICICIPRULI.NS,ICICIPRULI.NS
Date,,,,,
2019-01-01,321.9700012207031,323.25434275145705,318.3146372091033,320.58688969875806,360248
2019-01-02,315.94354248046875,323.0567302522729,314.2640607493267,319.7965367774445,409481
2019-01-03,312.4363708496094,316.98090591006303,311.6460300345607,314.21465275825364,580055
2019-01-04,320.7845153808594,322.36519715991926,312.23879999625876,313.12797118394536,1026786
2019-01-07,316.091796875,324.5880670182283,315.15324068148004,322.2170141840815,1088274
2019-01-08,320.53753662109375,321.3772625272547,316.1411861907988,318.8086395091128,469102
2019-01-09,332.6891784667969,335.8011870238772,321.13025508384595,322.51339679772246,1983917
2019-01-10,344.2974853515625,349.7311615909702,333.2325325860312,333.9241034399659,3816361
2019-01-11,352.25042724609375,355.31305103466315,341.432489059299,343.309571333076,4202861
2019-01-14,346.27337646484375,350.6697266852103,342.46979697019435,350.2745261016845,809835
2019-01-15,348.5950012207031,354.17686205440856,339.65411673879396,343.11191037112434,1072726
2019-01-16,343.06256103515625,352.1516315874927,341.87701960673985,349.7311637334638,455954
2019-01-17,345.5324401855469,349.68180535124975,341.03731971401305,343.65535790566156,1149959
2019-01-18,346.91552734375,348.9408247825344,338.36984246185386,345.92758619787594,486715
2019-01-21,347.4095153808594,351.21309501359343,344.3468916447785,348.199886427033,782817
2019-01-22,340.8396911621094,349.582976226182,339.3083944645427,348.7432202325351,878813
2019-01-23,301.71722412109375,332.9361707953167,297.5678893403906,326.02058267790653,22509682
2019-01-24,300.13653564453125,306.60756883455065,297.9630830135725,303.7919302800887,3408688
2019-01-25,295.7895812988281,304.631666860969,291.6896314589553,300.9268874605589,3001422
2019-01-28,287.836669921875,298.3582374991319,283.7861050384955,296.38235513158804,1726522
2019-01-29,290.8498840332031,293.81370764118327,285.07042196772727,287.39208982389295,1204397
2019-01-30,288.62701416015625,291.88723819419977,287.490887815542,290.45471140126926,560770
2019-01-31,282.4029846191406,291.1462698532342,279.98251673442627,291.1462698532342,2719180
2019-02-01,282.35357666015625,288.0342384346136,278.9945826843046,284.5270593119514,1444692
2019-02-04,281.3161926269531,282.304133601938,274.00543544197797,279.9330812918874,1138335
2019-02-05,282.8475341796875,284.3294458784625,277.7596433771409,280.18011121163494,1113849
2019-02-06,284.8728332519531,286.8981005255917,282.1559951216926,283.19332125705466,850787
2019-02-07,308.1388244628906,310.2135068122496,288.133017096814,291.9365963790438,4919994
2019-02-08,309.818359375,313.1773533494647,303.1497564251297,304.7798533385169,2148588
2019-02-11,294.6040344238281,310.2134910204435,292.4799370376322,310.2134910204435,1239764
2019-02-12,295.0486145019531,304.13768502115926,291.9859909476834,292.4305765191117,1040063
2019-02-14,301.0256652832031,302.16179151849065,297.46907129265855,301.12443527356487,649808
2019-02-15,299.34619140625,309.71957427676364,296.0365822700286,300.2847476305545,1511537
2019-02-18,299.84014892578125,304.18708409940365,297.46909611740284,300.2353193689156,694259
2019-02-19,296.33294677734375,302.6557638252498,295.39439066690187,299.34615509053936,408249
2019-02-20,299.24737548828125,302.0136288644257,296.48115226170876,297.864263874995,452836
2019-02-21,311.5472717285156,314.0665097956291,297.4691092544232,299.3461915543875,1113028
2019-02-22,311.1026611328125,315.1532258650677,309.07739384147044,314.16528471815525,1457390
2019-02-25,313.3255310058594,324.3410688446157,309.2749662439676,309.2749662439676,2385566
2019-02-26,308.28704833984375,312.1400432512307,301.0750894305413,311.20148702418544,1292569
2019-02-27,317.6724853515625,319.1543971727943,308.33645896754604,308.33645896754604,1482564
2019-02-28,315.7460021972656,321.0808784555356,313.621934723551,320.33992258217665,1673384
2019-03-01,321.1796875,328.29284599156875,316.38816668961823,316.38816668961823,1603560
2019-03-05,323.40252685546875,328.2434322416086,319.1543620128633,322.66157102648094,1940935
