Price,Close,High,Low,Open,Volume
Ticker,IIFL.NS,IIFL.NS,IIFL.NS,IIFL.NS,IIFL.NS
Date,,,,,
2019-01-01,255.28440856933594,257.8888320724254,253.03744504897372,257.8888320724254,72870
2019-01-02,254.8247833251953,257.3781329159154,252.83316053638367,256.3567986952107,39189
2019-01-03,259.1144104003906,260.44215890202935,253.44595644259314,255.25883518047178,89731
2019-01-04,255.89720153808594,259.67615234519036,252.7820969426227,258.9101586684241,45967
2019-01-07,252.42465209960938,259.75276447337467,249.3861438819178,257.88883986334815,439766
2019-01-08,246.06675720214844,254.82476417145318,244.63686132272238,254.82476417145318,87661
2019-01-09,246.34767150878906,250.63730387802224,243.13044723186417,246.19447837500798,61492
2019-01-10,243.00274658203125,250.61174975245953,242.5686900645489,246.1433738998702,72700
2019-01-11,243.0282745361328,246.654060256727,240.5259986064043,245.12204484414633,40047
2019-01-14,239.50466918945312,243.0282794393536,237.48752347760157,243.0282794393536,101954
2019-01-15,240.4749298095703,246.1433841446568,237.28325670595112,240.1174698345353,67913
2019-01-16,241.98141479492188,244.7390312760284,241.11327367328488,242.05801135301965,87377
2019-01-17,235.85336303710938,244.86671176598634,234.93416218476864,241.01113625041933,85721
2019-01-18,232.22760009765625,238.4322583585025,229.77638384052437,238.4322583585025,100458
2019-01-21,230.4402618408203,236.2619096743383,229.49552407004694,233.37662262572562,43717
2019-01-22,225.97189331054688,234.16816079818335,217.7245520880284,231.89567441408454,417483
2019-01-23,218.56715393066406,224.1845346782751,217.03515248591873,223.009993217824,100286
2019-01-24,229.0869598388672,234.39793979724695,218.49053678685445,218.49053678685445,541799
2019-01-25,224.49095153808594,234.90863167464607,219.58850474273086,227.24856820868848,414040
2019-01-28,219.435302734375,225.69102114461745,216.67768599896098,225.69102114461745,259372
2019-01-29,223.7760009765625,225.9974276397898,218.56715394715715,218.56715394715715,124857
2019-01-30,230.0061798095703,233.88727817240402,222.75466426561414,224.695213447031,149725
2019-01-31,219.48635864257812,228.5252299220887,217.18833552375114,225.30800597910616,179987
2019-02-01,214.0221710205078,224.36326802351414,212.00502535177858,218.08201326286104,181436
2019-02-04,195.0252227783203,214.83926254559404,190.09725321337683,212.97530990704095,469495
2019-02-05,193.90174865722656,197.70625037129008,162.34228129534281,197.1700463739361,384865
2019-02-06,196.75071716308594,200.33133523071294,190.79174304873303,199.67794008072784,223761
2019-02-07,197.743896484375,203.1017544181721,195.23485831832053,196.54164873042964,269862
2019-02-08,188.28269958496094,198.6324934026053,186.11342890013785,198.6324934026053,193019
2019-02-11,171.86940002441406,190.8178887548507,168.47172788547275,190.8178887548507,348663
2019-02-12,165.9626922607422,172.7580222672126,155.24699116487005,172.4966584465361,3895077
2019-02-14,197.796142578125,200.67108676158827,173.0193498428146,175.03181364526336,1210572
2019-02-15,198.81546020507812,204.17330332441463,187.1588613807134,193.50988122542668,557737
2019-02-18,187.57704162597656,201.3244930940828,183.49983528800297,199.6779356284196,168574
2019-02-19,193.4837646484375,197.84846029422334,184.2839385640665,187.1850225752677,248698
2019-02-20,192.3599090576172,195.78370617821594,188.1781740909488,193.4576141271145,389566
2019-02-21,190.32131958007812,194.2678299684641,188.727026122848,192.35990854508816,379502
2019-02-22,190.24288940429688,193.84964670507094,188.90995985751056,191.31446951473444,125844
2019-02-25,188.98838806152344,194.92122321312064,175.6329669713386,185.61685512630126,1005515
2019-02-26,178.53404235839844,187.0281943796532,177.67156183881676,185.564597170113,258311
2019-02-27,179.1090087890625,185.5645708831915,177.93290046261444,185.5645708831915,2488414
2019-02-28,171.89552307128906,182.37601370835088,162.09458122487067,180.3374104467924,292864
2019-03-01,180.44195556640625,182.50668374151442,170.64101358593493,171.8955254223998,234365
2019-03-05,191.39288330078125,197.58708226744167,177.3840670416687,182.42828244155805,552752
2019-03-06,188.70086669921875,197.56092405401776,185.93046507249514,193.40532879899376,1185955
2019-03-07,189.53724670410156,192.72581931950504,187.367961408859,189.22361873096554,1103367
2019-03-08,190.3474578857422,192.35992210637792,187.26342777936554,191.41903814160855,259464
2019-03-11,197.56094360351562,201.03701920021487,191.54970504135153,192.25536436705974,544120
2019-03-12,209.8448028564453,212.19703418322783,199.547272153997,199.547272153997,1146760
2019-03-13,211.4129638671875,215.43787782753986,205.06194339184813,211.1777392899388,1011879
2019-03-14,217.37193298339844,219.5412038974309,213.79131464227885,214.81061632735575,702187
2019-03-15,229.2898712158203,237.3135736605205,220.5866343467255,220.5866343467255,1078792
2019-03-18,234.75225830078125,242.74983541047155,229.47280436575707,229.99553196752314,475846
2019-03-19,236.5556182861328,240.31918222649003,234.28180499180667,237.8362836432688,379828
2019-03-20,232.11253356933594,237.54879450944173,223.27861493046046,237.3135699531242,848434
2019-03-22,229.629638671875,232.47844391014206,227.042182879336,230.51825840162334,274998
2019-03-25,222.02410888671875,225.29108476454422,194.58145403248818,225.29108476454422,369602
2019-03-26,227.0160369873047,229.4727962744615,219.5934518792062,221.10932738258182,497943
2019-03-27,224.7683868408203,231.5375779910841,222.3116127657265,228.4274086958244,670276
2019-03-28,224.61154174804688,227.90467112597923,222.72975969070993,227.38194350940748,457782
2019-04-01,228.03536987304688,231.04099659924452,224.01045576928811,228.29673371710774,255203
2019-04-02,244.082763671875,248.29065211556758,227.2512673776007,228.0353444522508,424012
2019-04-03,235.17044067382812,248.1338156890894,234.1772782988636,244.63161530635236,276622
2019-04-04,234.0204620361328,240.13625757638135,227.06832526582428,233.13184229413196,519026
2019-04-05,236.5294952392578,240.44988059996876,233.7591077865124,234.69999165100867,161465
2019-04-08,238.2021942138672,242.54076459082754,232.6352656319009,238.7249218468257,214073
2019-04-09,239.4567108154297,245.3634207441047,236.16359583640113,237.8362925805403,165437
2019-04-10,237.1044921875,242.54076767050216,234.69999677780615,240.99873837784335,124186
2019-04-11,234.41250610351562,239.3783180471037,234.17728154169774,235.2227080718615,134777
2019-04-12,235.17044067382812,237.81016058859248,233.68068992631936,235.19657992925127,109108
2019-04-15,233.34091186523438,237.31356118035404,230.54438528822465,235.17042973779505,67976
2019-04-16,234.64772033691406,242.95892555144252,233.02728773130016,234.9613482821583,208742
2019-04-18,236.66018676757812,242.04416946972137,233.60229612099369,237.70562769631078,444571
2019-04-22,235.14430236816406,236.76472065908567,232.63526435025742,235.22270576462626,185978
2019-04-23,234.8829345703125,237.52266882110195,232.6091211504726,235.7454293972678,129314
2019-04-24,234.36021423339844,235.48405846685836,232.63525337188906,234.69998142886593,112827
2019-04-25,226.7546844482422,235.22269640298572,225.81378624764656,234.6738439093461,210879
2019-04-26,230.10009765625,232.0864225055282,224.01044119488736,228.42740077736448,99922
2019-04-30,225.7353973388672,231.56368984722164,215.43786683115675,229.99555002914653,258448
2019-05-02,224.7945098876953,228.00922161155185,219.72415529757993,225.50016920212173,184938
2019-05-03,221.78887939453125,224.76836650212687,220.19458600470975,224.19337473677533,36000
2019-05-06,220.7695770263672,224.74222648977891,217.55486537240589,220.1945852629526,62216
2019-05-07,219.9071044921875,223.2002196602653,217.5548732135072,222.15479311649028,45942
2019-05-08,218.88780212402344,221.16162999707205,215.69922962067147,217.63327590544057,103757
2019-05-09,215.72537231445312,223.5399897163073,213.52996217454088,217.42419406217715,66439
2019-05-10,212.51065063476562,221.63205799438305,211.7004343130916,214.39243272017472,47695
2019-05-13,211.30841064453125,213.8435879824148,209.58343528764314,211.70044200693235,73268
2019-05-14,228.95008850097656,231.56366899925553,210.21068643846056,213.79128999668796,298746
2019-05-15,224.08883666992188,234.59545234218905,203.33696914320046,228.95010596439815,655699
2019-05-16,232.34776306152344,234.1772810405812,224.40246396878464,225.29108370258433,236338
2019-05-17,227.2251434326172,233.86365215403853,223.3831614398937,232.6091259553815,223770
2019-05-20,230.57052612304688,236.2681510581785,227.06832566089096,236.2681510581785,295179
2019-05-21,225.4217529296875,233.00114512620053,223.3570248755935,232.60911379281333,301964
2019-05-22,221.86727905273438,225.8137892077758,220.19458229540012,225.4217578658042,155310
2019-05-23,222.88658142089844,224.76836348305784,220.76957480470364,222.15478287399563,197775
2019-05-24,221.63204956054688,224.6638150600521,219.30595770501333,222.75589379200247,297542
2019-05-27,219.3321075439453,229.44669174503892,216.4048989201711,227.35582433659334,225251
2019-05-28,217.29351806640625,221.97182687487802,215.88217071412112,219.6457349133003,1116069
2019-05-29,218.20826721191406,233.81137684662056,213.6867651018407,217.18897992979507,849295
2019-05-30,187.88121032714844,197.72260418454567,187.88121032714844,197.72260418454567,37995
2019-05-31,178.51071166992188,178.51071166992188,178.51071166992188,178.51071166992188,6914
2019-06-03,169.61106872558594,169.61106872558594,169.61106872558594,169.61106872558594,4210
2019-06-04,161.13522338867188,161.13522338867188,161.13522338867188,161.13522338867188,8844
2019-06-06,153.08316040039062,153.08316040039062,153.08316040039062,153.08316040039062,18308
2019-06-07,160.57015991210938,160.71141823436355,145.4549015155663,145.4549015155663,276019
2019-06-10,159.1104278564453,162.54786217941492,152.65937728642922,162.54786217941492,251233
2019-06-11,151.1996307373047,163.86630487829797,151.1996307373047,153.50694077679637,31099
2019-06-12,143.66555786132812,155.3904724543104,143.66555786132812,151.1996413742644,304910
2019-06-13,149.5515594482422,150.82292740913513,136.5081717193809,136.55526261499702,103241
2019-06-14,154.73126220703125,160.38182554238145,146.20832630218624,150.68168894267183,143874
2019-06-17,151.1996307373047,159.15750301397907,146.9146181667499,154.91958133609205,47720
2019-06-18,145.26654052734375,154.91958454942008,143.80680904510268,152.56518356842585,150771
2019-06-19,138.90966796875,154.82541400830624,137.4028454834122,145.97287142478814,88949
2019-06-20,141.3111572265625,146.39665786640833,133.4003608899842,138.90966522492045,88744
2019-06-21,140.79318237304688,145.78451545828997,137.6853701222258,142.91214331177167,183735
2019-06-24,138.15625,144.70148200991852,137.5912023731006,140.3693927231957,25962
2019-06-25,135.7076873779297,141.21697742021883,133.68289377664465,139.38054740612245,66879
2019-06-26,134.48338317871094,136.36690391126956,131.65810207987298,133.91832121089422,188526
2019-06-27,135.8489532470703,139.33346425182634,134.10669055962984,136.5552736279043,41413
2019-06-28,133.96542358398438,137.07323593306822,131.8464625782623,135.61350436621265,43806
2019-07-01,133.87124633789062,138.15625939124038,132.27025639766228,138.15625939124038,35596
2019-07-02,135.23680114746094,136.1314706663989,130.38672639511546,133.40035684475453,32096
2019-07-03,137.73245239257812,139.80432230668126,133.25909069093882,133.25909069093882,27675
2019-07-04,149.69281005859375,158.92206468939509,136.60234647815355,139.28635494861172,361938
2019-07-05,146.06704711914062,151.6234278578058,143.335933274783,147.85638617189758,132113
2019-07-08,138.43878173828125,145.0311046781994,136.55526089830462,145.0311046781994,48088
2019-07-09,136.74362182617188,141.0286349783366,130.15129832134144,137.02615285040386,43072
2019-07-10,137.21449279785156,139.5218029944932,135.89603393409172,136.74361257934822,25668
2019-07-11,136.0372772216797,138.95674000189672,134.4833784203488,138.43876894474565,37866
2019-07-12,136.41400146484375,138.34459881389117,133.82416033111102,138.34459881389117,30945
2019-07-15,131.0459747314453,139.38056134362444,130.71636716115398,139.38056134362444,38101
2019-07-16,127.65560913085938,136.5081500358115,127.1376381016063,136.5081500358115,26327
2019-07-17,130.8105010986328,134.29502573607462,124.68905909356852,127.27889994186495,68037
2019-07-18,123.22936248779297,134.43630626364808,120.96912875165357,131.84646498711544,53209
2019-07-19,124.500732421875,135.5193271496809,122.6172114642971,126.14881325975568,103828
2019-07-22,123.55896759033203,131.4226730592458,122.42885792962186,122.94682904873352,59970
2019-07-23,121.06331634521484,126.66678850155608,119.03852981319605,123.93568877262084,50629
2019-07-24,122.28759002685547,124.31236907818587,118.19092666145701,118.19092666145701,327750
2019-07-25,123.41771697998047,124.31238658516692,119.6035840630015,121.48710507186766,42258
2019-07-26,124.12403106689453,126.52552310550068,121.62835723456887,122.85264870230182,308535
2019-07-29,120.30989837646484,126.3371595529504,119.27396331082277,124.12403110117212,330178
2019-07-30,114.94186401367188,122.33467480942821,113.0112522470926,122.1463255963745,50420
2019-07-31,111.1748275756836,115.22439333001796,108.77333547684522,114.00010901664061,63951
2019-08-01,110.04470825195312,113.15252064222602,108.34954373594599,111.17482511435331,41448
2019-08-02,103.64073944091797,109.24421119272702,102.65188810351074,109.24421119272702,83076
2019-08-05,99.07320404052734,106.8898192471644,93.04594244776814,106.8898192471644,70165
2019-08-06,108.25535583496094,110.18596754198623,97.75473305229964,97.94308225954332,52583
2019-08-07,109.24421691894531,115.55400933248015,108.34954732682371,108.39663104032033,119359
2019-08-08,109.9034423828125,111.45734857281363,108.11410326378427,111.45734857281363,23127
2019-08-09,116.07198333740234,117.2491839797695,111.26900615355682,112.68164692439741,78887
