Price,Close,High,Low,Open,Volume
Ticker,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS,MOTILALOFS.NS
Date,,,,,
2019-01-01,646.9356079101562,660.8665975780365,645.2736533493547,660.8665975780365,34238
2019-01-02,661.4043579101562,664.7282674586552,633.5912437340522,652.0681615340931,148663
2019-01-03,667.7587890625,674.553213801943,652.0681066752115,652.0681066752115,95897
2019-01-04,657.8360595703125,672.3047254912166,651.0905034597472,667.7587994599072,45566
2019-01-07,658.5203857421875,660.4267438735981,652.0192922027474,657.9338415488868,167045
2019-01-08,681.6409301757812,685.7957870466986,658.5203498383391,658.5203498383391,147333
2019-01-09,670.83837890625,691.7592714833071,667.807741330544,684.3294329360889,80492
2019-01-10,671.033935546875,678.9037123500319,665.5103953609015,668.7365080025244,40351
2019-01-11,672.9402465820312,681.5921620861893,666.7324245610407,667.7100380867901,39131
2019-01-14,677.1928100585938,679.441308931372,665.7547214133299,672.5980151723509,22296
2019-01-15,663.60400390625,681.9831249981139,658.9114712377216,672.6469284002395,20026
2019-01-16,667.1723022460938,676.8995678813794,664.7771373908543,664.7771373908543,39057
2019-01-17,666.536865234375,691.6615438493025,625.672633305376,635.4487682007725,452495
2019-01-18,656.9074096679688,670.7406050266586,643.2696892761519,669.6652540336839,92772
2019-01-21,647.9622192382812,659.4491779230602,645.2249133577947,650.455121742496,60582
2019-01-22,659.6935424804688,663.7017934167429,641.2166841228377,646.4468921997737,84354
2019-01-23,649.281982421875,663.2129737783451,647.1800896830326,655.7342071826195,145775
2019-01-24,628.8987426757812,650.2596331144237,625.6726301105322,649.282019629876,202723
2019-01-25,632.7174072265625,637.9557585380993,622.1917000164141,623.5624539356045,81313
2019-01-28,633.6965942382812,639.3755689627937,615.4846355899801,629.5842126233941,67675
2019-01-29,625.4227905273438,634.9693614982112,619.4500879784503,627.6258453667747,83733
2019-01-30,623.41552734375,630.3673648483419,616.4636300774754,624.6883914240958,397535
2019-01-31,622.5343627929688,633.5006927653563,593.3561357276753,617.8834689898229,152039
2019-02-01,616.610595703125,626.744624463042,605.595321067698,622.7301927228067,214783
2019-02-04,608.92431640625,618.3239921446315,598.692339738298,616.6105052305331,69033
2019-02-05,605.0567626953125,611.5190327543954,601.1891657192118,607.112923233652,33964
2019-02-06,606.1338500976562,610.9805830210752,598.4476599370837,598.4476599370837,53884
2019-02-07,599.4268798828125,612.0576943954482,597.2727694178182,606.0849906059499,35156
2019-02-08,599.6226806640625,608.5817357759352,595.1675657608861,599.4268415867202,63238
2019-02-11,580.2847290039062,606.0849277928332,575.9765085204107,601.1892498623581,43512
2019-02-12,563.4924926757812,579.7461184295207,559.0863828286206,577.6899577388548,51738
2019-02-14,576.9556274414062,584.2012544739003,559.3311874007693,560.0655390691293,65857
2019-02-15,578.7669677734375,590.3208144354385,572.8432099750518,582.3897810609283,298764
2019-02-18,573.62646484375,577.738845581174,565.1080344554161,577.6899007622596,28412
2019-02-19,560.408203125,572.7942916263836,556.6385551958958,572.7942916263836,37812
2019-02-20,566.1361083984375,575.4868396509786,556.1489152220431,556.1489152220431,38620
2019-02-21,604.81201171875,612.8409347898906,569.024621062277,602.1193890874441,330160
2019-02-22,598.1049194335938,611.9597111998343,592.4748900905553,598.2518136689579,42976
2019-02-25,589.6353759765625,597.2726204828588,567.4089894587158,572.6963447578282,559814
2019-02-26,569.563232421875,589.684458531507,566.9195541548237,589.684458531507,133245
2019-02-27,563.93310546875,580.5294642135232,563.0029147876327,567.9475371303864,119145
2019-02-28,551.595947265625,568.8777123456894,548.3158673211465,565.0590600793138,94916
2019-03-01,556.2958984375,560.4572246132714,548.3159196310497,557.9603810984545,120427
2019-03-05,564.9612426757812,571.815191893685,552.4283189153819,556.1490222527622,223406
2019-03-06,572.9901123046875,592.3769834469781,569.8568667208947,571.2276803393318,403363
2019-03-07,589.1459350585938,595.3144777274432,575.4869807307643,577.6900359526176,135071
2019-03-08,589.9781494140625,597.9581285343013,577.0046025912183,597.9581285343013,70606
2019-03-11,587.285400390625,596.146563799582,581.6064270285414,596.146563799582,584339
2019-03-12,596.6361694335938,607.0639860010277,588.4604122364801,589.3906028770447,162118
2019-03-13,595.4612426757812,603.4411606673021,594.3352130133391,601.5808391853914,38350
2019-03-14,610.3931274414062,622.7302115004172,603.147500446945,603.147500446945,283359
2019-03-15,612.59619140625,622.8281102721801,608.0431871149634,611.9597293830147,180238
2019-03-18,616.8553466796875,628.9966504237718,613.0856990213196,615.8762112087674,275751
2019-03-19,625.5696411132812,633.9901817852148,616.855312007236,616.855312007236,113458
2019-03-20,614.50537109375,630.807999884854,612.1065371029918,630.807999884854,86878
2019-03-22,601.6787719726562,616.4147494722118,600.2100687050257,614.1138049242662,108309
2019-03-25,596.9300537109375,603.4412697168113,588.6563457824434,597.0768881966922,93543
2019-03-26,587.3833618164062,597.1257114269991,583.66259941452,590.4186577109101,113640
2019-03-27,585.4740600585938,595.2164698345905,577.7878108432177,595.2164698345905,97365
2019-03-28,587.1875610351562,588.1666965180357,578.9138542524872,582.5856123132853,128003
2019-04-01,606.7212524414062,608.0430612786444,589.9290570376542,595.2653567258494,144952
2019-04-02,600.0142211914062,609.9524704002737,597.272653749484,606.7213352093764,46662
