Price,Close,High,Low,Open,Volume
Ticker,NUVAMA.NS,NUVAMA.NS,NUVAMA.NS,NUVAMA.NS,NUVAMA.NS
Date,,,,,
2023-09-26,2553.878173828125,2727.3952554949165,2553.878173828125,2688.2928145559213,89029
2023-09-27,2426.20849609375,2426.20849609375,2426.20849609375,2426.20849609375,1936
2023-09-28,2307.0439453125,2389.012530105599,2304.8933588586624,2304.8933588586624,143979
2023-09-29,2356.16650390625,2380.361139720659,2191.691858420418,2191.691858420418,81364
2023-10-03,2247.119384765625,2335.393189297407,2238.3702616968344,2335.393189297407,201692
2023-10-04,2134.797607421875,2242.5247742135275,2134.797607421875,2205.377458860383,52478
2023-10-05,2127.85693359375,2194.5754703583543,2052.8780542955215,2078.2946397296564,93177
2023-10-06,2234.215576171875,2234.215576171875,2077.5125064046865,2131.0828947953128,30739
2023-10-09,2190.567626953125,2270.874166341814,2152.1494325408303,2237.637092878352,11473
2023-10-10,2300.054443359375,2300.054443359375,2209.287811055284,2209.287811055284,21819
2023-10-11,2302.889404296875,2385.2489213559907,2234.0202772303596,2362.7650175891104,28360
2023-10-12,2310.954345703125,2370.585570359593,2258.214974251722,2330.4566411164965,15581
2023-10-13,2292.771484375,2351.034215705236,2272.8293353491363,2305.8709450320594,21684
2023-10-16,2296.4375,2310.9543774042263,2250.3455908563997,2250.3455908563997,43372
2023-10-17,2298.881103515625,2346.1462707262335,2281.627248281262,2307.0438328807963,33682
2023-10-18,2300.73876953125,2311.931795395939,2268.1370142876794,2299.2724280119714,30262
2023-10-19,2503.680419921875,2530.759052284804,2282.6540068734844,2301.178741276606,114280
2023-10-20,2504.51123046875,2531.882937905567,2484.617769063124,2500.649912330669,51282
2023-10-23,2458.516845703125,2540.68089068932,2405.044309857022,2507.4438186295138,59528
2023-10-25,2470.247802734375,2541.6586838733665,2442.0453101511202,2483.005021937827,34781
2023-10-26,2643.86279296875,2663.316162453685,2406.3643829337007,2443.902631894656,98080
2023-10-27,2652.709716796875,2691.1766002796658,2614.975765427076,2668.7416222863244,33254
2023-10-30,2798.85498046875,2881.7032748014917,2747.04424772969,2834.9268857221355,97836
2023-10-31,2857.753173828125,2942.556594406573,2771.5320988057942,2933.660693440026,162341
2023-11-01,2830.9677734375,2911.127776661291,2777.739623907344,2883.8049940266287,38693
2023-11-02,2814.935791015625,2912.056331985943,2796.557596706876,2884.684624319145,33968
2023-11-03,2814.251708984375,2903.0629866974728,2777.8375600694962,2903.0629866974728,22984
2023-11-06,2747.23974609375,2836.051020394868,2683.404964595136,2831.9942376801855,45477
2023-11-07,2693.3759765625,2758.677098054735,2678.370558648946,2746.9463662416033,21655
2023-11-08,2674.1669921875,2715.664408143179,2653.589285782815,2694.206992319586,34055
2023-11-09,2641.90771484375,2677.0020617570353,2571.5233178734766,2639.561425080652,53276
2023-11-10,2593.518310546875,2675.584510402375,2559.890068278272,2618.8859712707213,276469
2023-11-13,2685.751220703125,2843.285332234423,2651.732285985994,2678.5173641626716,477945
2023-11-15,2741.276611328125,2819.676958737461,2693.6694365742374,2717.6686077572263,272066
2023-11-16,2833.802734375,2904.0403473932242,2696.94419755957,2761.6097607399215,243270
2023-11-17,3051.75,3103.3652689124715,2804.866919899932,2854.4781410151786,370308
2023-11-20,3140.6591796875,3191.1501111094476,2987.426489183721,3078.3396644108434,317244
2023-11-21,3133.718505859375,3239.637341814859,3094.1762088494193,3178.05099524445,104611
2023-11-22,3102.436279296875,3156.5443744917984,3047.2530102315545,3148.7238867259466,110815
2023-11-23,3147.306640625,3180.0060091253104,3094.176103538181,3122.329908744618,88417
2023-11-24,3093.198486328125,3183.9161953844136,3074.4293627522197,3165.3425362771663,91066
2023-11-28,3114.94921875,3122.2320005096894,3071.4966797809234,3094.078434476591,55462
2023-11-29,3099.06396484375,3143.836308259773,3069.59059491876,3143.836308259773,92808
2023-11-30,3072.180908203125,3113.1408573170106,3010.887881210944,3099.063835713937,92658
2023-12-01,3104.78271484375,3147.7464737955374,3074.4783233258427,3079.708131567809,86431
2023-12-04,3239.1484375,3372.5855166364872,3153.2209193671615,3372.5855166364872,328880
2023-12-05,3175.65576171875,3273.851714192502,3143.3962494558796,3273.851714192502,107286
2023-12-06,3173.798583984375,3211.385998429228,3150.0927278013414,3179.0286312257876,51204
2023-12-07,3163.387451171875,3187.2398445229373,3138.0687162952386,3172.1855003253195,110224
2023-12-08,3094.176025390625,3194.669343790685,3038.650512931315,3194.669343790685,64663
2023-12-11,3129.0263671875,3164.8538840313568,3080.3437794010465,3122.3299785625186,155404
2023-12-12,3194.2294921875,3214.2205668981765,3141.001343488217,3164.364955915267,228446
2023-12-13,3473.225341796875,3528.99524513459,3196.624501825515,3221.35684310422,288681
2023-12-14,3511.692626953125,3558.322241562,3446.049258887329,3533.932140962888,135882
2023-12-15,3628.950927734375,3685.4050771253537,3524.0585816529506,3542.6811669767326,195508
2023-12-18,3533.883056640625,3611.941398875347,3485.444860787395,3583.8852069148716,73181
2023-12-19,3538.868896484375,3589.45768144964,3480.215232756532,3543.6588502238683,54651
2023-12-20,3485.005126953125,3660.966115130281,3436.2249262511814,3591.559280904847,103035
2023-12-21,3583.73876953125,3591.5592578444657,3397.024611053217,3422.441198071169,43279
2023-12-22,3541.068359375,3617.904514586992,3486.0316246139027,3597.4246583541067,37525
2023-12-26,3564.1875,3646.302626165661,3531.4881314200748,3543.6587184585846,46043
2023-12-27,3529.63037109375,3605.2448065219387,3493.8028575133976,3605.2448065219387,21441
2023-12-28,3548.0576171875,3568.0976175049937,3475.3271749148043,3546.591275700854,31940
2023-12-29,3509.39501953125,3566.093556809289,3465.1114590626566,3566.093556809289,23790
2024-01-01,3534.5673828125,3568.2443127004813,3480.117280952541,3538.770942991067,15641
2024-01-02,3489.01318359375,3548.2532390852475,3436.127036163949,3534.8607006454736,30070
2024-01-03,3510.275146484375,3543.8052991360787,3453.7720707922485,3498.6909527266635,25185
2024-01-04,3524.107421875,3572.98547210905,3492.4345407882774,3519.2196168515948,28837
2024-01-05,3554.16748046875,3608.226652637699,3512.3767468401893,3512.3767468401893,36220
2024-01-08,3388.6171875,3578.7527926052044,3362.8096738401173,3554.1672301349436,58062
2024-01-09,3381.872314453125,3432.118854907503,3348.1953853875298,3419.361874655537,42271
2024-01-10,3459.294921875,3544.489502747623,3353.034093241478,3381.872141565275,49133
2024-01-11,3506.315673828125,3519.2194306747974,3431.2389449079274,3489.8926020858407,67370
2024-01-12,3623.818603515625,3667.9066997948507,3479.1395764532263,3542.4855765751795,84565
