Price,Close,High,Low,Open,Volume
Ticker,POLYMED.NS,POLYMED.NS,POLYMED.NS,POLYMED.NS,POLYMED.NS
Date,,,,,
2019-01-01,218.1792755126953,219.98523967985014,214.76259782010277,219.98523967985014,2289
2019-01-02,219.4483184814453,224.28047369511734,215.83640523564665,217.05664720351996,2480
2019-01-03,216.08042907714844,221.79115190059736,215.73875540675374,219.15543252858015,1119
2019-01-04,217.25186157226562,219.64353261496694,215.2506619626676,217.10542361320407,9949
2019-01-07,217.54473876953125,218.71616805146863,214.76258119133996,218.47211966375122,5519
2019-01-08,218.22805786132812,223.79235778013597,217.59352315494942,217.59352315494942,2675
2019-01-09,219.20425415039062,220.6197317511035,215.73876423448615,217.1054291809267,2963
2019-01-10,217.05665588378906,219.83879874448127,216.714982160908,219.83879874448127,1334
2019-01-11,218.1792755126953,218.1792755126953,216.03165251360082,216.61735975215424,67
2019-01-14,214.86019897460938,218.37448669725913,214.7625736647312,215.15304511318197,5875
2019-01-15,216.66615295410156,219.44831049784975,214.81139118862365,215.10425222936522,2333
2019-01-16,214.86019897460938,216.61733538816878,214.7625736647312,216.27567659465709,1735
2019-01-17,214.17686462402344,214.86021204367393,210.9066250816229,214.6649614120413,11039
2019-01-18,210.22328186035156,215.20185990748107,209.979233478761,214.4697147627093,1795
2019-01-21,210.7601776123047,216.22686735002108,208.90541585961407,211.29708703404077,6862
2019-01-22,211.833984375,212.07803274409562,209.88159742223502,212.07803274409562,4499
2019-01-23,213.63995361328125,218.17924743389497,209.8816026769012,210.12565105210692,4082
2019-01-24,211.58995056152344,213.5911503048794,209.88161186033466,212.27328306289266,5331
2019-01-25,211.3946990966797,215.25066032752244,210.66255399352485,212.4197052202025,4842
2019-01-28,211.248291015625,212.61497100545537,209.88162592132696,211.5411520774124,2617
2019-01-29,210.0768280029297,211.83397919656946,209.5399186249384,210.76016044058684,6337
2019-01-30,209.5399169921875,211.83397754594307,206.36728829622294,210.3208747272232,30835
2019-01-31,210.56494140625,213.49352199575426,208.90541538463717,209.93042157006988,1394
2019-02-01,214.0304412841797,219.64355433952306,208.90542501625748,208.90542501625748,4153
2019-02-04,210.17446899414062,220.08282731856914,209.9304206127948,214.66495027358536,2251
2019-02-05,210.51612854003906,217.69115693535863,208.90541517563565,210.85780223335186,6493
2019-02-06,210.17446899414062,212.46851484147282,209.8816079574194,211.88280766356147,8778
2019-02-07,209.88162231445312,213.83520934180856,209.39352551837302,211.00423898722457,4172
2019-02-08,209.930419921875,211.4923206200292,209.930419921875,210.76017547840132,2678
2019-02-11,209.97923278808594,212.22446597490938,208.90541395440692,209.100649679931,3418
2019-02-12,211.1018524169922,214.713765525483,209.8816104955067,211.39471345725497,8372
2019-02-14,210.0768280029297,211.05302145544846,208.9053988390132,209.88159229153194,2930
2019-02-15,211.54112243652344,211.98040651988637,206.2696836451075,209.05182610342635,1862
2019-02-18,206.2209014892578,212.76139574081654,205.0006594686113,212.6637853164843,39782
2019-02-19,202.51133728027344,210.76016932257852,200.2172915074952,205.29349469541134,1385
2019-02-20,209.39349365234375,209.88159037414408,202.0232301740527,202.12085547662474,23195
