Price,Close,High,Low,Open,Volume
Ticker,LTTS.NS,LTTS.NS,LTTS.NS,LTTS.NS,LTTS.NS
Date,,,,,
2019-01-01,1604.1627197265625,1610.9376473778682,1580.2868945820278,1604.3963379214351,36717
2019-01-02,1590.285888671875,1616.5912072641406,1586.9684645365596,1602.574114982057,65474
2019-01-03,1515.5745849609375,1600.0509431594223,1507.3045240567371,1600.0509431594223,155781
2019-01-04,1517.583740234375,1533.9370132972454,1485.811666855084,1527.8629404453222,152819
2019-01-07,1526.4146728515625,1541.7868200963212,1506.4636997739867,1523.1907870596572,59677
2019-01-08,1541.4598388671875,1562.4387101300263,1515.4814462639774,1540.0113602238537,108871
2019-01-09,1536.3203125,1560.5698401358236,1528.5641413186668,1551.1783412777013,98334
2019-01-10,1534.8248291015625,1551.2248726305188,1528.4237131342022,1542.1137626858517,79898
2019-01-11,1526.180908203125,1546.5524605629616,1523.6578773099147,1536.2732599187364,54561
2019-01-14,1541.4130859375,1546.0386812761358,1515.715080564186,1539.0769036308352,28296
2019-01-15,1541.4130859375,1549.2159120274805,1525.0598097908457,1548.3282083795084,39320
2019-01-16,1543.7489013671875,1551.2246829718713,1533.563126116531,1541.8799559660165,38566
2019-01-17,1582.4361572265625,1587.6224124792518,1536.0395629740146,1560.6628968042196,126255
2019-01-18,1533.7034912109375,1642.4761485275474,1523.1906721546552,1602.6208605798981,448657
2019-01-21,1549.262451171875,1558.5137545463426,1514.7803826332508,1534.4043110942614,107446
2019-01-22,1557.0186767578125,1582.0158264540287,1539.076842978246,1542.0671105843749,84041
2019-01-23,1560.429443359375,1579.165669361487,1542.5810349948547,1557.7662185893823,64475
2019-01-24,1570.7552490234375,1576.2218917296111,1547.486855019556,1556.7848131394612,48407
2019-01-25,1567.7183837890625,1607.2932857727349,1563.3730622661544,1566.176480787851,106480
2019-01-28,1596.7802734375,1606.3586188963056,1561.5973524257572,1579.2121405284074,105494
2019-01-29,1579.77294921875,1607.2931260093699,1565.8025131981078,1588.6036710557726,93543
2019-01-30,1513.939453125,1538.6095593691887,1510.3417554390837,1527.8631215114629,257267
2019-01-31,1481.3729248046875,1517.583743815053,1471.794579130978,1517.583743815053,215895
2019-02-01,1494.78271484375,1509.1736192283793,1478.3360158633411,1478.3360158633411,80452
2019-02-04,1456.9833984375,1497.960010982922,1434.4158558071026,1495.1098231001545,130453
2019-02-05,1490.9981689453125,1498.8944187271331,1443.1064364267554,1473.4768033897428,157363
2019-02-06,1480.7188720703125,1503.893728303735,1463.4311258400437,1494.2219579567532,61681
2019-02-07,1474.5047607421875,1498.894479774615,1468.243724085828,1476.9343673839023,74751
2019-02-08,1454.6937255859375,1486.1855265976176,1449.6943190458123,1476.466986907494,139222
2019-02-11,1431.939453125,1465.2066638692677,1406.3816434160697,1461.5155417293906,101126
2019-02-12,1444.180908203125,1456.8430599654384,1426.4726946999626,1448.4328049688452,35575
2019-02-14,1409.0447998046875,1426.9399768804321,1403.7650056286716,1415.7263031917844,49356
2019-02-15,1395.7283935546875,1430.6776951398508,1378.3472242529588,1430.6776951398508,118952
2019-02-18,1370.824951171875,1394.2335425380872,1362.4614644909727,1378.34750351453,86810
2019-02-19,1322.8397216796875,1379.2819036967317,1317.6066966208616,1379.2819036967317,223726
2019-02-20,1365.405029296875,1373.3947037315168,1312.8409314187338,1334.100188782782,215215
2019-02-21,1389.3275146484375,1397.0369156881884,1375.7308890043196,1376.7589004000677,161868
2019-02-22,1395.4014892578125,1408.2037208118013,1388.8134104805777,1397.0368166351445,72677
2019-02-25,1401.1019287109375,1422.26776284482,1384.1879919276541,1405.2604015852223,85738
2019-02-26,1400.6812744140625,1412.6424575693886,1371.1051880777807,1397.0368077534722,118583
2019-02-27,1404.4190673828125,1420.3985280086345,1395.7751947617073,1420.3985280086345,122891
2019-02-28,1435.1165771484375,1443.7604503951397,1411.053902975185,1412.9228485420397,82446
2019-03-01,1449.1805419921875,1466.1879022404796,1425.3047150365148,1426.285957157967,86251
2019-03-05,1436.7518310546875,1462.8702983874227,1427.874340066057,1449.3672129858994,48290
2019-03-06,1441.8448486328125,1457.7776564682829,1437.2192536206533,1437.2192536206533,58768
2019-03-07,1430.1636962890625,1453.4788585675853,1425.1642901646205,1443.7603196855243,81888
2019-03-08,1442.0318603515625,1452.5913355462,1420.398790173781,1426.9401003916864,64466
2019-03-11,1446.1435546875,1458.0113146646074,1441.7048084964044,1454.8340840503859,56521
2019-03-12,1444.50830078125,1457.310534293323,1434.4159475089778,1446.5173263235706,39223
2019-03-13,1440.16259765625,1448.4794273459706,1431.612149795871,1439.0879312569461,75210
2019-03-14,1414.55810546875,1446.5637967072666,1407.8299473916863,1446.5637967072666,63142
2019-03-15,1401.5224609375,1437.2192790673105,1397.0369455173143,1420.3987673487075,79900
2019-03-18,1393.6728515625,1420.3987526467051,1381.1041231044671,1420.3987526467051,29200
2019-03-19,1389.3275146484375,1428.5753744871693,1373.7685188266616,1373.7685188266616,125358
2019-03-20,1390.2620849609375,1428.8090928618876,1376.3384156563745,1401.1953724824646,127614
2019-03-22,1392.2711181640625,1409.5588658410684,1387.692178397496,1391.430069787119,48071
2019-03-25,1346.948974609375,1384.9353127354793,1335.3614902977647,1378.3472345620735,132257
2019-03-26,1367.2271728515625,1371.8061125264535,1352.3690320610103,1352.3690320610103,60895
2019-03-27,1369.423095703125,1391.4299753951823,1356.8544823867057,1373.6749924989376,81711
2019-03-28,1443.6202392578125,1447.498324076555,1364.330247354274,1364.330247354274,147464
2019-04-01,1506.4168701171875,1513.0048346836597,1477.4014450646885,1477.4014450646885,131735
2019-04-02,1525.3865966796875,1537.2076999831966,1504.5011531750433,1517.3969229736683,97134
2019-04-03,1478.5228271484375,1537.160995690187,1462.4967097921449,1534.4043465426757,134456
2019-04-04,1480.204833984375,1512.1171011676956,1468.2903064380994,1485.8116704767401,65547
2019-04-05,1503.286376953125,1510.1080741542835,1473.663634245857,1481.1394167911753,49652
2019-04-08,1491.091552734375,1511.0425242884075,1473.243144989649,1511.0425242884075,31538
2019-04-09,1487.1199951171875,1504.5011658964977,1458.7119999779086,1495.1564381580101,41320
2019-04-10,1496.1375732421875,1505.4355310487304,1477.448119101297,1486.7460769078398,40121
2019-04-11,1525.9476318359375,1541.8804420321674,1496.3248835175807,1510.108360196353,135581
2019-04-12,1546.085205078125,1564.3074241769605,1523.1906221077932,1527.8629859792893,131513
2019-04-15,1581.6885986328125,1592.3416110988067,1546.5524450519513,1546.5524450519513,128681
2019-04-16,1555.5233154296875,1602.4805710747428,1541.8800361062956,1588.2298616501241,71692
2019-04-18,1570.2880859375,1614.7689675535166,1564.3074373174693,1565.2419100996183,175969
2019-04-22,1557.1119384765625,1598.9762478766163,1550.2434727296136,1560.5694419109282,79060
2019-04-23,1584.8658447265625,1597.6680762635474,1562.858964992283,1562.858964992283,146234
2019-04-24,1584.1651611328125,1594.818174855167,1557.299065640957,1591.8277931749742,37140
