Price,Close,High,Low,Open,Volume
Ticker,MAPMYINDIA.NS,MAPMYINDIA.NS,MAPMYINDIA.NS,MAPMYINDIA.NS,MAPMYINDIA.NS
Date,,,,,
2021-12-21,1384.9139404296875,1580.033097770729,1274.5600079406981,1555.1898100699314,13396843
2021-12-22,1483.9393310546875,1495.5659413457604,1382.8767624344982,1385.2617423494949,2966238
2021-12-23,1448.9598388671875,1504.5094525588847,1433.9047827658303,1495.5658692873985,1123807
2021-12-24,1421.781494140625,1443.8920223563364,1381.3366663310155,1431.9672430939302,837499
2021-12-27,1442.947998046875,1460.5867336992737,1393.807898333596,1410.1051206058514,461438
2021-12-28,1607.0626220703125,1630.2166158216476,1445.8794123867706,1450.8480701612957,2807900
2021-12-29,1664.3016357421875,1765.8609508539455,1611.832561781148,1619.782414120389,4256134
2021-12-30,1629.42138671875,1724.1240410701807,1614.9626671112833,1653.569109130133,1432500
2021-12-31,1665.742431640625,1707.1809867871332,1639.6569796909955,1640.153845442417,928755
2022-01-03,1809.0882568359375,1835.4221424751313,1670.7111407884756,1679.3069428147458,2137954
2022-01-04,1749.2159423828125,1864.6378849553057,1734.0615364056287,1823.4973749595006,1862096
2022-01-05,1755.2777099609375,1795.6231868799805,1735.105032153977,1759.1035521911265,671339
2022-01-06,1716.074951171875,1752.9423655514177,1702.262059064387,1752.9423655514177,513999
2022-01-07,1664.102783203125,1747.3775333049496,1647.606864191782,1716.1743392395704,644523
2022-01-10,1734.309814453125,1752.9422791550278,1637.0234811619007,1669.4688372905027,973111
2022-01-11,1709.317626953125,1804.9146755206298,1695.6042042494498,1734.0118318838172,914366
2022-01-12,1700.771484375,1746.9302646284245,1692.821632271582,1727.8506681022677,456389
2022-01-13,1688.4990234375,1727.105470716955,1674.4376974442284,1708.6220877539663,401234
2022-01-14,1724.4224853515625,1751.4519362139197,1674.4377376002578,1674.4377376002578,449571
2022-01-17,1843.4217529296875,1905.380890561775,1699.380292553889,1724.1242323103174,2057901
2022-01-18,1761.637451171875,1872.7862910561494,1739.030060386846,1843.4215991052547,612943
2022-01-19,1746.0360107421875,1769.8358320560433,1717.1680616467393,1758.9047853673198,464589
2022-01-20,1707.6778564453125,1763.8734215816937,1696.2996792337754,1744.9925229844812,446602
2022-01-21,1596.67822265625,1709.2183245487786,1572.9777486379212,1701.6659887710996,767585
2022-01-24,1438.2772216796875,1625.5459903535386,1402.3538047073262,1589.9703551353407,1078560
2022-01-25,1475.0950927734375,1540.1845073433399,1403.6457722135442,1431.4702547777772,1055122
2022-01-27,1429.333740234375,1515.440602673538,1416.0674483998635,1470.7226832503845,630517
2022-01-28,1342.4815673828125,1389.0379867964568,1259.107588721354,1281.9136789054144,2477717
2022-01-31,1351.4251708984375,1390.2304363904993,1336.6682816638227,1368.9645569909787,418116
2022-02-01,1447.369873046875,1458.7977848491676,1343.9720660006103,1380.2929994247231,837122
2022-02-02,1597.42333984375,1607.85752029063,1460.7852625631804,1460.7852625631804,1502054
2022-02-03,1574.46826171875,1644.6256835348,1541.4266883184284,1599.7586806564975,1047352
2022-02-04,1496.162109375,1585.0017289781192,1485.628579825886,1564.0340187680206,706092
2022-02-07,1512.757568359375,1525.377910366089,1453.4814578746787,1492.2866016387054,530856
2022-02-08,1476.585693359375,1537.302665115519,1457.6054455430187,1510.4719140113698,360058
2022-02-09,1494.025634765625,1520.111087681453,1472.7101417621677,1476.6850679207703,299515
2022-02-10,1494.3736572265625,1524.3843035993611,1476.3870178779293,1501.5284763615612,273948
2022-02-11,1466.5616455078125,1492.532554200747,1456.26285154797,1490.5922457252198,279886
2022-02-14,1397.256103515625,1443.7749221388854,1383.1263719001468,1432.8791190907996,270466
2022-02-15,1427.05078125,1442.8947465099661,1366.714337037009,1414.9934668813205,263358
2022-02-16,1466.4613037109375,1503.6795913354922,1424.260645008399,1440.7024695657453,338634
2022-02-17,1459.3863525390625,1493.5653449493898,1449.8699751800236,1474.7818304236666,171137
2022-02-18,1425.95458984375,1470.7460567807086,1417.8333007308422,1454.8523418391858,169330
2022-02-21,1382.55810546875,1424.958132111677,1379.6684275477317,1424.958132111677,213705
2022-02-22,1341.4534912109375,1380.116738014902,1311.360019658925,1361.6819657020676,504195
2022-02-23,1416.7373046875,1449.8700744296202,1375.4832452520327,1387.0921949182346,568546
2022-02-24,1361.5325927734375,1388.73638896618,1326.45674716954,1345.2402628074217,511305
2022-02-25,1405.128173828125,1461.1798447353522,1395.0638092465429,1419.9756629830883,211089
2022-02-28,1392.72216796875,1417.9328918467559,1369.105656817673,1395.0638579737943,239030
2022-03-02,1382.1097412109375,1418.9294149325792,1367.361874119554,1379.1203185551099,189406
2022-03-03,1398.9998779296875,1414.8937141025256,1380.1167408533993,1399.6476104753995,211408
2022-03-04,1447.3289794921875,1482.5544416325454,1385.0992110750374,1394.067479348185,496364
2022-03-07,1387.39111328125,1429.8408909736904,1377.1772524664764,1404.032184196669,151465
2022-03-08,1413.5484619140625,1432.4814708682086,1385.0990761191047,1390.9284256006883,163586
2022-03-09,1469.899169921875,1480.7607637823146,1420.9224352709418,1422.6662652417488,209786
2022-03-10,1499.494384765625,1532.5772786660395,1489.728889210487,1503.6795276378762,261772
2022-03-11,1504.476806640625,1533.5738048340102,1484.7465686827,1498.5975844903408,118380
2022-03-14,1505.6226806640625,1526.5985117431328,1488.7324912168672,1511.352407454221,148795
2022-03-15,1459.08740234375,1516.5839171948562,1446.9304653015156,1504.9252172714007,134234
2022-03-16,1514.1925048828125,1526.847679282406,1482.8035658079907,1483.5509215002483,208362
2022-03-17,1528.29248046875,1610.7009724124823,1519.6232033091187,1528.5914713942218,559720
2022-03-21,1571.58935546875,1589.376396138301,1544.5849281758265,1549.5174269561494,200660
2022-03-22,1567.4041748046875,1578.4152642879194,1549.517510080628,1577.4187900049094,120182
2022-03-23,1569.9451904296875,1619.2706661048824,1561.126417591501,1577.4187473501715,250409
2022-03-24,1538.9049072265625,1573.4327626021484,1524.6055267772558,1570.4433400006244,150347
2022-03-25,1526.299560546875,1554.5497028551579,1522.61265447669,1544.2360970524905,91976
2022-03-28,1470.447265625,1534.0222504086391,1445.8841507958994,1532.2286697251693,125577
2022-03-29,1510.1566162109375,1521.566196888931,1480.7606279706058,1480.7606279706058,148609
2022-03-30,1518.825927734375,1552.4071812749153,1501.3378784996855,1526.5984751541816,106975
2022-03-31,1505.37353515625,1536.4636033840884,1495.757656375123,1527.295967700017,58590
2022-04-01,1516.6336669921875,1538.5560984467395,1505.7720743526318,1510.654822050037,101566
2022-04-04,1541.0972900390625,1558.485716933276,1508.7118771232495,1523.6091184085544,145338
2022-04-05,1580.109130859375,1594.3587609412555,1527.5949878268405,1547.524472338606,224654
2022-04-06,1580.5076904296875,1628.3384516101733,1554.549610731311,1564.464480278383,274252
2022-04-07,1541.8446044921875,1586.3869533324255,1534.5702940527233,1584.3940048985908,106042
2022-04-08,1538.954833984375,1553.2043425713148,1527.2462617145857,1548.221971392681,63301
2022-04-11,1646.2750244140625,1669.094308239772,1532.627213305628,1539.2536695159583,503409
2022-04-12,1651.3570556640625,1710.3981541621085,1634.4668660155269,1657.136654890304,656491
2022-04-13,1646.1256103515625,1691.016824562355,1644.3320296618506,1664.112019457356,143100
2022-04-18,1581.4046630859375,1638.2036963536746,1570.493318508895,1633.2213250143993,128214
2022-04-19,1568.450439453125,1622.6586619426403,1536.8622549892305,1591.3693467640664,116709
2022-04-20,1554.7489013671875,1592.8141679057248,1544.5350406147352,1565.4609992295157,93258
2022-04-21,1556.19384765625,1586.8853043972672,1544.5351471370575,1563.1691676755786,81371
2022-04-22,1595.05615234375,1629.2352649681604,1538.257124757704,1542.043775252739,196133
2022-04-25,1559.4322509765625,1577.3190358544416,1545.5813569054537,1564.4644943436347,82973
2022-04-26,1532.826416015625,1584.0949642093283,1515.8863548602435,1578.3154869167354,76852
2022-04-27,1477.02392578125,1526.6483910362442,1469.7994876217533,1522.612621753247,153117
2022-04-28,1478.0203857421875,1523.5592089071656,1474.881467623482,1479.8638387198655,281368
2022-04-29,1482.853271484375,1504.3273397121168,1471.44369025186,1488.1346335385056,129768
2022-05-02,1478.2694091796875,1513.5943693241406,1455.0017619846865,1463.5215430273565,84491
2022-05-04,1419.078857421875,1493.3660563021592,1400.444838885423,1489.6292781218617,152977
2022-05-05,1450.7169189453125,1469.0021959252012,1422.9651372011306,1436.9157758011418,81518
2022-05-06,1404.7296142578125,1431.2856756977003,1393.1705380042536,1414.9933470508377,117909
2022-05-09,1366.763916015625,1396.0602802722321,1359.1907368246427,1393.0708578305357,69462
2022-05-10,1275.935302734375,1380.0171028085813,1246.5891870743221,1375.134355046015,165979
2022-05-11,1163.732421875,1280.9676410446004,1124.820175619131,1277.3803580931133,468816
2022-05-12,1167.3197021484375,1210.7162040440085,1137.076733231372,1154.9136464913627,278684
2022-05-13,1245.2938232421875,1287.44473272979,1196.1178432666002,1201.7479471146492,294495
2022-05-16,1260.6395263671875,1282.9605734882882,1230.6456763169213,1245.5927897944546,113409
2022-05-17,1311.0611572265625,1322.8196023478472,1249.9773570474879,1274.1916089878655,122119
2022-05-18,1285.6510009765625,1336.2719404411903,1268.5116929020396,1330.2930950700886,103621
2022-05-19,1293.02490234375,1313.353000426437,1227.9053374624257,1247.7351984432817,176954
2022-05-20,1320.87646484375,1337.2684172788677,1300.398870751805,1324.3142522828728,97651
2022-05-23,1306.327880859375,1352.713806260407,1280.469422500643,1339.2614037672095,164419
2022-05-24,1303.2886962890625,1327.2538290247078,1280.2202930667443,1325.3107528926016,156054
