Price,Close,High,Low,Open,Volume
Ticker,MRPL.NS,MRPL.NS,MRPL.NS,MRPL.NS,MRPL.NS
Date,,,,,
2019-01-01,72.72496032714844,73.59707248910749,72.1919963232521,73.35481746788852,745220
2019-01-02,71.6590347290039,73.25791940142142,70.83536910776967,72.57960827641364,918289
2019-01-03,69.91481018066406,71.99820512717763,69.52720061500426,71.99820512717763,890344
2019-01-04,69.91481018066406,70.59312137579055,69.13959104934446,70.35086632138287,835745
2019-01-07,69.67254638671875,70.73846701379881,69.33339083169828,70.54466595179757,493801
2019-01-08,69.81790161132812,70.49621272847679,69.4787386597171,70.15705716990246,637622
2019-01-09,69.09113311767578,70.35085475771092,68.41281464100794,70.35085475771092,934771
2019-01-10,68.80043029785156,69.67254990699512,67.8798641172782,69.67254990699512,1114366
2019-01-11,68.41282653808594,69.4787473090303,68.21902544992791,68.8004361074396,699610
2019-01-14,67.1530990600586,68.7519763861729,66.57168105815849,68.50972134972685,1004087
2019-01-15,68.2190170288086,68.41281809304334,67.24999692156142,67.24999692156142,556046
2019-01-16,68.65506744384766,69.23647798152093,67.92830242349704,68.50971296117031,630332
2019-01-17,68.17056274414062,69.04268231514985,67.44379766713905,68.65507279547501,678311
2019-01-18,67.20154571533203,68.65507593582099,66.91084410705645,68.65507593582099,737450
2019-01-21,66.91083526611328,67.6860468454563,66.2809707751848,66.86238130795108,579455
2019-01-22,66.91083526611328,67.54069236400574,66.62012630321212,66.7654807846627,828583
2019-01-23,67.00774383544922,67.58915443802918,66.62013430271693,67.29844544022073,980770
2019-01-24,67.49225616455078,67.6860572408921,66.66859050054441,67.15310058443488,535744
2019-01-25,66.37787628173828,67.9283069498577,65.94182019768601,67.49225086580543,613706
2019-01-28,66.62013244628906,67.68605308682234,65.2635028160482,66.47477795143527,1358411
2019-01-29,66.03872680664062,66.57168347031083,65.45731617671073,65.89337230089883,1217127
2019-01-30,66.23252868652344,66.57168427533068,64.82745236444885,66.28098265336905,1360363
2019-01-31,65.74801635742188,66.8623910196908,64.58519512298992,66.08717193471144,1807343
2019-02-01,65.40885162353516,66.42632560600457,64.82744108771094,65.74800715334626,676602
2019-02-04,63.22856521606445,65.26350606624992,62.50180009863843,65.02125102710791,759183
2019-02-05,62.06574249267578,63.7615277258851,61.33897369621048,63.7615277258851,997786
2019-02-06,63.22856521606445,63.809975831397864,60.70911428759497,61.82348524973709,1355457
2019-02-07,64.82745361328125,66.08717545212356,62.69560471264138,63.27702275383975,1075685
2019-02-08,63.422367095947266,66.4263355339034,62.307999816165605,64.34294069220508,2044308
2019-02-11,61.823482513427734,62.79250632362529,61.14516769454864,62.79250632362529,481107
2019-02-12,61.87193298339844,62.79250653024487,61.53277742110208,61.823482716858734,449576
2019-02-14,62.30799865722656,62.74405476789674,60.854464734424724,61.96883938651601,580443
2019-02-15,61.629676818847656,62.598696917864245,61.33897152844634,62.01728633706162,537324
2019-02-18,61.29052734375,61.96884221966441,60.854467516625114,61.62968293344786,459290
2019-02-19,61.096717834472656,62.01728768789351,60.079247447646836,61.145168101175145,991234
2019-02-20,61.678131103515625,62.25954168735833,61.145167089055086,61.58122687519628,958658
2019-02-21,61.96883773803711,62.50179806752629,61.242072644228664,61.77503297371784,867531
2019-02-22,60.99981689453125,62.45334336851075,60.56375710407821,62.45334336851075,2088336
2019-02-25,61.77503204345703,62.21108813596086,60.61220717157063,60.660657437791244,826828
2019-02-26,62.79250717163086,63.3739177690829,60.32150289116363,61.920387578934374,1821293
2019-02-27,62.211090087890625,63.713074263484124,61.67813344622358,63.47081922826175,1178844
2019-02-28,63.13166809082031,63.47082368534059,61.77503831970172,62.308002391831785,916327
2019-03-01,65.31195831298828,65.89336891302524,63.08320905430355,63.131663018072004,1242440
2019-03-05,68.02520751953125,68.55817152748962,65.31195569702146,65.40885622764027,1275937
2019-03-06,68.848876953125,69.9147975209006,67.87985691095878,69.23647905556253,1107848
2019-03-07,68.60662841796875,69.6240951224544,68.12211835115552,69.28493955429252,606624
2019-03-08,66.42633056640625,68.50971785926743,65.89336655616381,68.31591679719924,666414
2019-03-11,69.81790161132812,70.15705716990246,66.37787727698502,66.37787727698502,1641283
2019-03-12,70.83537292480469,71.61059201776142,69.8179061824658,69.8179061824658,2518617
2019-03-13,70.98072814941406,71.90129436273763,69.96325400370927,71.22298319429261,942314
2019-03-14,71.31987762451172,71.6105866106793,70.4477580590456,70.98072206934063,710661
2019-03-15,71.17453002929688,71.80439463167879,69.96325479126911,71.56213958407324,810377
2019-03-18,70.83537292480469,72.57961218743874,69.8179061824658,71.9012936328423,1072666
2019-03-19,72.28889465332031,73.83932526333348,70.73846404330715,71.22297407100103,1585547
2019-03-20,71.31987762451172,72.24045115201797,70.83536757625683,72.24045115201797,739358
2019-03-22,71.27143859863281,72.19200483053201,70.15706389109766,71.80439527229753,814143
2019-03-25,71.41677856445312,72.87030871753998,69.96324841136627,69.96324841136627,1684125
2019-03-26,72.19200134277344,73.01566699358023,71.36833569196665,71.41678226375703,1011732
2019-03-27,71.75594329833984,72.91876449250053,71.368333769274,71.85284383234709,1133077
2019-03-28,71.99819946289062,72.57961006912045,71.70749046325723,71.85284496307393,862385
2019-04-01,71.94974517822266,72.87031135123429,71.65903617988374,72.19200021249276,482542
2019-04-02,71.5621337890625,72.0466438450386,70.59311367711031,72.0466438450386,642710
2019-04-03,70.30241394042969,71.94974521714276,69.86635044268544,71.94974521714276,760371
2019-04-04,68.36437225341797,70.25395852551009,67.10464314333204,70.25395852551009,1175879
2019-04-05,69.57564544677734,70.10860206066653,67.9283068573028,68.3643703337975,662991
2019-04-08,68.65506744384766,69.76944195365915,68.31591191295792,69.28493194009208,449753
2019-04-09,67.83140563964844,69.04268074035645,67.2499950699159,67.87985960089135,930903
2019-04-10,68.36437225341797,68.70352781596824,67.24999763957838,67.24999763957838,730492
2019-04-11,68.41282653808594,69.76945633430495,67.97677039321158,68.46128050664426,920850
2019-04-12,68.99423217773438,69.57565018599789,68.12211995141328,68.12211995141328,446368
