Price,Close,High,Low,Open,Volume
Ticker,TORNTPOWER.NS,TORNTPOWER.NS,TORNTPOWER.NS,TORNTPOWER.NS,TORNTPOWER.NS
Date,,,,,
2019-01-01,224.07691955566406,226.84011369012296,222.39309401251376,226.84011369012296,537488
2019-01-02,220.8388214111328,224.42231998772323,219.2845279507745,223.04072287276327,736827
2019-01-03,224.94041442871094,227.87629172671586,219.4140525115654,219.4140525115654,3187049
2019-01-04,225.9766082763672,228.6534211765344,223.90419959630466,227.96263585102756,2193261
2019-01-07,228.00579833984375,233.0572483439651,226.23564448666784,226.23564448666784,1847402
2019-01-08,226.88327026367188,230.12137592871,225.1994447771435,228.30803148593438,681268
2019-01-09,225.9334259033203,229.0420126841858,223.299777108735,227.14231344260912,856853
2019-01-10,224.72454833984375,228.7397943654748,223.77469867689035,225.37216951661563,838857
2019-01-11,222.26358032226562,226.84011906899713,221.1410475013959,225.9766241754749,1679794
2019-01-14,224.72454833984375,227.27186884252242,220.36389644773575,221.96135411157445,1631227
2019-01-15,231.15757751464844,234.87059475872874,225.15627787992102,225.54486109578176,2659149
2019-01-16,227.358154296875,233.0572248461046,226.40833116514352,232.45279433970896,1065781
2019-01-17,225.89024353027344,229.6464511570137,225.11310348551302,228.39437316417698,923753
2019-01-18,228.782958984375,231.80519080001127,223.9905470085182,227.0127788241545,2065303
2019-01-21,223.25657653808594,228.82612870191636,222.69531017200143,227.96263387662611,843557
2019-01-22,221.87501525878906,224.76770196412215,220.62293716859122,222.22040793312132,668522
2019-01-23,226.88327026367188,228.13534832819516,219.84579255534325,221.61594644485555,2403131
2019-01-24,223.21340942382812,228.26485935619147,222.00452195455605,227.05597188691942,902166
2019-01-25,217.0825958251953,226.19248212773786,215.87370832890764,222.7816669954327,1071678
2019-01-28,212.85147094726562,218.42100984397445,210.6063791679343,218.0324398141362,628086
2019-01-29,213.1105194091797,213.71496313438277,209.65654020700785,212.63559463370407,720834
2019-01-30,212.85147094726562,215.7873480348049,211.08130394924115,212.93782569873423,547517
2019-01-31,213.5422821044922,214.88070177637556,210.7791011800179,213.7149784417932,701329
2019-02-01,213.0673370361328,217.98925464859906,211.72891749150904,211.72891749150904,839941
2019-02-04,210.30416870117188,213.15370427832303,205.16637709248667,213.02417214815657,868024
2019-02-05,213.80133056640625,214.92386333298705,208.66352565771896,210.6927438297119,1638872
2019-02-06,211.38352966308594,218.89593178747924,205.55493976341933,211.5994033630736,1861940
2019-02-07,211.85845947265625,214.36258918166496,208.1454291094584,209.22479763504583,1114210
2019-02-08,209.00892639160156,215.13973178361465,207.45463306127238,210.69273867617255,655511
2019-02-11,203.74160766601562,210.43369276808914,202.92129019190637,208.96575415506953,1186958
2019-02-12,203.2666778564453,207.4978104319907,201.3238144875613,201.3238144875613,893704
2019-02-14,202.8781280517578,208.31814866236692,201.7555820248247,205.08004272460994,880666
2019-02-15,205.25270080566406,207.23874137905688,200.63301176795318,202.70539391139002,1078885
2019-02-18,201.36700439453125,208.40449560749065,200.33081316849217,205.42542771578465,843945
2019-02-19,201.71241760253906,205.68448630971267,200.37399784786305,200.37399784786305,558643
2019-02-20,206.41845703125,207.92957309564292,202.66224897226158,202.66224897226158,1711771
2019-02-21,202.36001586914062,206.76383153542002,201.71239475563905,206.37526150249616,878392
2019-02-22,200.93524169921875,203.2235108745658,199.1650746855049,199.94222792795466,992579
2019-02-25,207.71368408203125,211.64258819541737,198.77650731728943,202.6622340539797,2213736
2019-02-26,211.29718017578125,213.02416981869877,204.64827268572589,204.64827268572589,3590167
2019-02-27,209.57020568847656,213.8876801079997,204.56193272665243,210.47687795175366,3038061
2019-02-28,209.78607177734375,213.11053222978578,209.09527326017434,210.69274400763575,864971
2019-03-01,211.9447784423828,214.0171736959928,209.78604162146655,211.46985370660445,681309
2019-03-05,214.967041015625,217.3416518613358,212.4197338344942,213.15370972988643,1486682
2019-03-06,214.27622985839844,218.8959323197209,213.36957085695377,216.0032194624988,889091
2019-03-07,215.05340576171875,216.34864810136867,210.90862763966172,214.5784809353365,1464502
2019-03-08,215.3124542236328,217.38483667129663,210.47687761123555,214.92387098579536,1042565
2019-03-11,221.6591339111328,222.56579294400814,214.4057694169316,215.35560582658326,1275655
2019-03-12,221.52960205078125,224.5086699426524,219.8026254578779,222.78168017386275,1033450
2019-03-13,220.79562377929688,223.90419723900658,219.80261000242126,221.70229597933587,541890
2019-03-14,221.22738647460938,222.52262872246592,218.85276251098685,221.7454622923352,366886
2019-03-15,221.6591339111328,223.1702498671057,219.71625736328215,221.22738649514056,348927
2019-03-18,225.6311798095703,226.84009360621926,220.83879422917593,221.7454532248927,664308
2019-03-19,228.0489959716797,232.62550815235318,226.27881571178023,230.76899948856192,1506411
2019-03-20,224.72454833984375,229.56012506342844,224.07692716307187,229.56012506342844,644061
2019-03-22,220.23434448242188,226.0197568261767,219.67306497445745,223.60198200255468,543330
2019-03-25,218.8959197998047,221.05465668145956,217.1689302944808,218.8959197998047,461820
2019-03-26,219.41404724121094,221.74546753137312,216.65085317312432,219.50038882091002,941683
2019-03-27,217.47119140625,222.13405850092957,215.87372060343012,220.1911950154987,836966
2019-03-28,215.87371826171875,219.54357147216797,214.31942485505715,217.47118904720992,720088
